method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.700,0.705,0.680,0.770,0.846,0.391,0.000
original-group-0,0.681,0.681,0.681,0.801,0.854,0.311,0.705
original-group-1,0.746,0.783,0.678,0.695,0.825,0.579,0.295
original-delta,-0.065,-0.102,0.003,0.107,0.029,-0.268,0.268
original-fair_reg-all,0.645,0.708,0.680,0.495,0.603,0.734,0.000
original-fair_reg-group-0,0.631,0.682,0.681,0.511,0.604,0.689,0.705
original-fair_reg-group-1,0.678,0.778,0.678,0.458,0.600,0.842,0.295
original-fair_reg-delta,-0.047,-0.096,0.003,0.053,0.004,-0.153,0.153
original-fair_pp-all,0.695,0.708,0.680,0.725,0.809,0.453,0.000
original-fair_pp-group-0,0.681,0.681,0.681,0.702,0.781,0.467,0.705
original-fair_pp-group-1,0.729,0.783,0.678,0.780,0.875,0.421,0.295
original-fair_pp-delta,-0.048,-0.102,0.003,-0.078,-0.094,0.046,0.094
original-fair_adv-all,0.690,0.710,0.680,0.750,0.824,0.406,0.000
original-fair_adv-group-0,0.674,0.680,0.681,0.738,0.802,0.400,0.705
original-fair_adv-group-1,0.729,0.786,0.678,0.780,0.875,0.421,0.295
original-fair_adv-delta,-0.055,-0.105,0.003,-0.042,-0.073,-0.021,0.073
original-fair_resample-all,0.650,0.704,0.680,0.740,0.787,0.359,0.000
original-fair_resample-group-0,0.631,0.686,0.681,0.738,0.771,0.333,0.705
original-fair_resample-group-1,0.695,0.742,0.678,0.746,0.825,0.421,0.295
original-fair_resample-delta,-0.064,-0.056,0.003,-0.008,-0.054,-0.088,0.088
adv-clean-all,0.715,0.709,0.680,0.785,0.868,0.391,0.000
adv-clean-group-0,0.709,0.685,0.681,0.844,0.906,0.289,0.705
adv-clean-group-1,0.729,0.809,0.678,0.644,0.775,0.632,0.295
adv-clean-delta,-0.020,-0.124,0.003,0.200,0.131,-0.343,0.343
adv-clean-fair_reg-all,0.665,0.720,0.680,0.515,0.632,0.734,0.000
adv-clean-fair_reg-group-0,0.652,0.689,0.681,0.532,0.635,0.689,0.705
adv-clean-fair_reg-group-1,0.695,0.811,0.678,0.475,0.625,0.842,0.295
adv-clean-fair_reg-delta,-0.042,-0.121,0.003,0.057,0.010,-0.153,0.153
adv-clean-fair_pp-all,0.715,0.718,0.680,0.775,0.860,0.406,0.000
adv-clean-fair_pp-group-0,0.695,0.685,0.681,0.773,0.844,0.378,0.705
adv-clean-fair_pp-group-1,0.763,0.809,0.678,0.780,0.900,0.474,0.295
adv-clean-fair_pp-delta,-0.068,-0.124,0.003,-0.007,-0.056,-0.096,0.096
adv-clean-fair_adv-all,0.700,0.717,0.680,0.780,0.853,0.375,0.000
adv-clean-fair_adv-group-0,0.681,0.686,0.681,0.787,0.844,0.333,0.705
adv-clean-fair_adv-group-1,0.746,0.808,0.678,0.763,0.875,0.474,0.295
adv-clean-fair_adv-delta,-0.065,-0.122,0.003,0.025,-0.031,-0.140,0.140
adv-clean-fair_resample-all,0.675,0.697,0.680,0.775,0.831,0.344,0.000
adv-clean-fair_resample-group-0,0.660,0.661,0.681,0.766,0.812,0.333,0.705
adv-clean-fair_resample-group-1,0.712,0.778,0.678,0.797,0.875,0.368,0.295
adv-clean-fair_resample-delta,-0.052,-0.117,0.003,-0.031,-0.062,-0.035,0.062
adv-all-all,0.665,0.672,0.680,0.585,0.684,0.625,0.000
adv-all-group-0,0.624,0.671,0.681,0.475,0.573,0.733,0.705
adv-all-group-1,0.763,0.764,0.678,0.847,0.950,0.368,0.295
adv-all-delta,-0.139,-0.093,0.003,-0.372,-0.377,0.365,0.377
adv-all-fair_reg-all,0.650,0.696,0.680,0.500,0.610,0.734,0.000
adv-all-fair_reg-group-0,0.667,0.672,0.681,0.546,0.656,0.689,0.705
adv-all-fair_reg-group-1,0.610,0.766,0.678,0.390,0.500,0.842,0.295
adv-all-fair_reg-delta,0.056,-0.093,0.003,0.156,0.156,-0.153,0.156
adv-all-fair_pp-all,0.660,0.690,0.680,0.560,0.662,0.656,0.000
adv-all-fair_pp-group-0,0.681,0.671,0.681,0.631,0.729,0.578,0.705
adv-all-fair_pp-group-1,0.610,0.764,0.678,0.390,0.500,0.842,0.295
adv-all-fair_pp-delta,0.071,-0.093,0.003,0.241,0.229,-0.264,0.264
adv-all-fair_adv-all,0.675,0.700,0.680,0.575,0.684,0.656,0.000
adv-all-fair_adv-group-0,0.667,0.673,0.681,0.546,0.656,0.689,0.705
adv-all-fair_adv-group-1,0.695,0.768,0.678,0.644,0.750,0.579,0.295
adv-all-fair_adv-delta,-0.028,-0.096,0.003,-0.098,-0.094,0.110,0.110
adv-all-fair_resample-all,0.655,0.688,0.680,0.525,0.632,0.703,0.000
adv-all-fair_resample-group-0,0.652,0.660,0.681,0.546,0.646,0.667,0.705
adv-all-fair_resample-group-1,0.661,0.758,0.678,0.475,0.600,0.789,0.295
adv-all-fair_resample-delta,-0.009,-0.098,0.003,0.072,0.046,-0.123,0.123
adv-konstantinov-all,0.665,0.672,0.680,0.585,0.684,0.625,0.400
adv-konstantinov-group-0,0.624,0.671,0.681,0.475,0.573,0.733,0.705
adv-konstantinov-group-1,0.763,0.764,0.678,0.847,0.950,0.368,0.295
adv-konstantinov-delta,-0.139,-0.093,0.003,-0.372,-0.377,0.365,0.377
adv-konstantinov-fair_reg-all,0.650,0.696,0.680,0.500,0.610,0.734,0.000
adv-konstantinov-fair_reg-group-0,0.667,0.672,0.681,0.546,0.656,0.689,0.705
adv-konstantinov-fair_reg-group-1,0.610,0.766,0.678,0.390,0.500,0.842,0.295
adv-konstantinov-fair_reg-delta,0.056,-0.093,0.003,0.156,0.156,-0.153,0.156
adv-konstantinov-fair_pp-all,0.660,0.690,0.680,0.560,0.662,0.656,0.000
adv-konstantinov-fair_pp-group-0,0.681,0.671,0.681,0.631,0.729,0.578,0.705
adv-konstantinov-fair_pp-group-1,0.610,0.764,0.678,0.390,0.500,0.842,0.295
adv-konstantinov-fair_pp-delta,0.071,-0.093,0.003,0.241,0.229,-0.264,0.264
adv-konstantinov-fair_adv-all,0.675,0.700,0.680,0.575,0.684,0.656,0.000
adv-konstantinov-fair_adv-group-0,0.667,0.673,0.681,0.546,0.656,0.689,0.705
adv-konstantinov-fair_adv-group-1,0.695,0.768,0.678,0.644,0.750,0.579,0.295
adv-konstantinov-fair_adv-delta,-0.028,-0.096,0.003,-0.098,-0.094,0.110,0.110
adv-konstantinov-fair_resample-all,0.665,0.701,0.680,0.525,0.640,0.719,0.000
adv-konstantinov-fair_resample-group-0,0.695,0.682,0.681,0.589,0.708,0.667,0.705
adv-konstantinov-fair_resample-group-1,0.593,0.747,0.678,0.373,0.475,0.842,0.295
adv-konstantinov-fair_resample-delta,0.102,-0.065,0.003,0.216,0.233,-0.175,0.233
adv-selected-all,0.715,0.709,0.680,0.785,0.868,0.391,0.000
adv-selected-group-0,0.709,0.685,0.681,0.844,0.906,0.289,0.705
adv-selected-group-1,0.729,0.809,0.678,0.644,0.775,0.632,0.295
adv-selected-delta,-0.020,-0.124,0.003,0.200,0.131,-0.343,0.343
adv-selected-fair_reg-all,0.665,0.720,0.680,0.515,0.632,0.734,0.000
