method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.765,0.759,0.705,0.810,0.908,0.424,0.000
original-group-0,0.789,0.777,0.735,0.810,0.907,0.462,0.735
original-group-1,0.698,0.720,0.623,0.811,0.909,0.350,0.265
original-delta,0.091,0.057,0.112,-0.002,-0.002,0.112,0.112
original-fair_reg-all,0.685,0.748,0.705,0.550,0.667,0.729,0.000
original-fair_reg-group-0,0.680,0.774,0.735,0.537,0.648,0.769,0.735
original-fair_reg-group-1,0.698,0.729,0.623,0.585,0.727,0.650,0.265
original-fair_reg-delta,-0.018,0.045,0.112,-0.047,-0.079,0.119,0.119
original-fair_pp-all,0.710,0.745,0.705,0.735,0.816,0.458,0.000
original-fair_pp-group-0,0.714,0.777,0.735,0.707,0.787,0.513,0.735
original-fair_pp-group-1,0.698,0.720,0.623,0.811,0.909,0.350,0.265
original-fair_pp-delta,0.016,0.057,0.112,-0.104,-0.122,0.163,0.163
original-fair_adv-all,0.740,0.751,0.705,0.785,0.872,0.424,0.000
original-fair_adv-group-0,0.762,0.776,0.735,0.769,0.861,0.487,0.735
original-fair_adv-group-1,0.679,0.721,0.623,0.830,0.909,0.300,0.265
original-fair_adv-delta,0.083,0.055,0.112,-0.061,-0.048,0.187,0.187
original-fair_resample-all,0.730,0.756,0.705,0.755,0.844,0.458,0.000
original-fair_resample-group-0,0.755,0.775,0.735,0.748,0.843,0.513,0.735
original-fair_resample-group-1,0.660,0.735,0.623,0.774,0.848,0.350,0.265
original-fair_resample-delta,0.095,0.040,0.112,-0.025,-0.006,0.163,0.163
adv-clean-all,0.755,0.758,0.705,0.800,0.894,0.424,0.000
adv-clean-group-0,0.782,0.781,0.735,0.803,0.898,0.462,0.735
adv-clean-group-1,0.679,0.695,0.623,0.792,0.879,0.350,0.265
adv-clean-delta,0.103,0.085,0.112,0.010,0.019,0.112,0.112
adv-clean-fair_reg-all,0.655,0.745,0.705,0.510,0.617,0.746,0.000
adv-clean-fair_reg-group-0,0.667,0.778,0.735,0.497,0.611,0.821,0.735
adv-clean-fair_reg-group-1,0.623,0.711,0.623,0.547,0.636,0.600,0.265
adv-clean-fair_reg-delta,0.044,0.067,0.112,-0.051,-0.025,0.221,0.221
adv-clean-fair_pp-all,0.770,0.752,0.705,0.875,0.957,0.322,0.000
adv-clean-fair_pp-group-0,0.803,0.781,0.735,0.850,0.944,0.410,0.735
adv-clean-fair_pp-group-1,0.679,0.695,0.623,0.943,1.000,0.150,0.265
adv-clean-fair_pp-delta,0.123,0.085,0.112,-0.093,-0.056,0.260,0.260
adv-clean-fair_adv-all,0.735,0.745,0.705,0.800,0.879,0.390,0.000
adv-clean-fair_adv-group-0,0.762,0.779,0.735,0.782,0.870,0.462,0.735
adv-clean-fair_adv-group-1,0.660,0.695,0.623,0.849,0.909,0.250,0.265
adv-clean-fair_adv-delta,0.102,0.084,0.112,-0.067,-0.039,0.212,0.212
adv-clean-fair_resample-all,0.725,0.755,0.705,0.800,0.872,0.373,0.000
