method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.816,0.840,0.236,0.150,0.428,0.936,0.000
original-group-0,0.778,0.823,0.299,0.217,0.493,0.901,0.664
original-group-1,0.890,0.808,0.111,0.018,0.085,0.990,0.336
original-delta,-0.111,0.015,0.189,0.199,0.407,-0.089,0.407
original-fair_reg-all,0.704,0.804,0.236,0.420,0.763,0.686,0.000
original-fair_reg-group-0,0.735,0.823,0.299,0.415,0.750,0.728,0.664
original-fair_reg-group-1,0.643,0.808,0.111,0.430,0.832,0.620,0.336
original-fair_reg-delta,0.091,0.015,0.189,-0.015,-0.082,0.108,0.108
original-fair_pp-all,0.793,0.802,0.236,0.137,0.352,0.930,0.000
original-fair_pp-group-0,0.767,0.823,0.299,0.133,0.334,0.952,0.664
original-fair_pp-group-1,0.845,0.808,0.111,0.144,0.449,0.894,0.336
original-fair_pp-delta,-0.078,0.015,0.189,-0.011,-0.115,0.058,0.115
original-fair_adv-all,0.811,0.834,0.236,0.146,0.410,0.935,0.000
original-fair_adv-group-0,0.776,0.823,0.299,0.193,0.447,0.916,0.664
original-fair_adv-group-1,0.881,0.809,0.111,0.055,0.212,0.965,0.336
original-fair_adv-delta,-0.105,0.015,0.189,0.138,0.235,-0.048,0.235
original-fair_resample-all,0.801,0.818,0.236,0.137,0.369,0.934,0.000
original-fair_resample-group-0,0.770,0.822,0.299,0.149,0.364,0.943,0.664
original-fair_resample-group-1,0.862,0.809,0.111,0.114,0.394,0.920,0.336
original-fair_resample-delta,-0.093,0.014,0.189,0.035,-0.030,0.022,0.030
adv-clean-all,0.816,0.839,0.236,0.149,0.425,0.936,0.000
adv-clean-group-0,0.778,0.823,0.299,0.213,0.485,0.903,0.664
adv-clean-group-1,0.891,0.806,0.111,0.021,0.105,0.989,0.336
adv-clean-delta,-0.113,0.017,0.189,0.192,0.381,-0.086,0.381
adv-clean-fair_reg-all,0.700,0.803,0.236,0.425,0.764,0.680,0.000
adv-clean-fair_reg-group-0,0.732,0.823,0.299,0.418,0.750,0.724,0.664
adv-clean-fair_reg-group-1,0.635,0.807,0.111,0.439,0.837,0.610,0.336
adv-clean-fair_reg-delta,0.097,0.016,0.189,-0.021,-0.087,0.114,0.114
adv-clean-fair_pp-all,0.793,0.804,0.236,0.147,0.372,0.923,0.000
adv-clean-fair_pp-group-0,0.768,0.823,0.299,0.144,0.353,0.946,0.664
adv-clean-fair_pp-group-1,0.841,0.806,0.111,0.153,0.474,0.886,0.336
adv-clean-fair_pp-delta,-0.072,0.017,0.189,-0.010,-0.121,0.059,0.121
adv-clean-fair_adv-all,0.812,0.834,0.236,0.143,0.405,0.938,0.000
adv-clean-fair_adv-group-0,0.776,0.823,0.299,0.187,0.439,0.921,0.664
adv-clean-fair_adv-group-1,0.882,0.807,0.111,0.056,0.220,0.964,0.336
adv-clean-fair_adv-delta,-0.105,0.015,0.189,0.131,0.219,-0.044,0.219
adv-clean-fair_resample-all,0.802,0.817,0.236,0.135,0.368,0.937,0.000
adv-clean-fair_resample-group-0,0.770,0.821,0.299,0.149,0.366,0.943,0.664
adv-clean-fair_resample-group-1,0.866,0.811,0.111,0.107,0.377,0.927,0.336
adv-clean-fair_resample-delta,-0.095,0.010,0.189,0.042,-0.011,0.017,0.017
adv-all-all,0.803,0.809,0.236,0.122,0.340,0.946,0.000
adv-all-group-0,0.762,0.792,0.299,0.163,0.374,0.927,0.664
adv-all-group-1,0.885,0.784,0.111,0.039,0.157,0.975,0.336
adv-all-delta,-0.123,0.009,0.189,0.124,0.217,-0.048,0.217
adv-all-fair_reg-all,0.672,0.780,0.236,0.463,0.784,0.637,0.000
adv-all-fair_reg-group-0,0.693,0.793,0.299,0.473,0.778,0.657,0.664
adv-all-fair_reg-group-1,0.628,0.784,0.111,0.442,0.818,0.604,0.336
adv-all-fair_reg-delta,0.065,0.009,0.189,0.031,-0.040,0.053,0.053
adv-all-fair_pp-all,0.784,0.767,0.236,0.086,0.226,0.957,0.000
adv-all-fair_pp-group-0,0.743,0.792,0.299,0.084,0.210,0.971,0.664
adv-all-fair_pp-group-1,0.866,0.784,0.111,0.092,0.309,0.936,0.336
adv-all-fair_pp-delta,-0.123,0.009,0.189,-0.008,-0.098,0.035,0.098
adv-all-fair_adv-all,0.796,0.794,0.236,0.118,0.316,0.944,0.000
adv-all-fair_adv-group-0,0.756,0.792,0.299,0.139,0.326,0.940,0.664
adv-all-fair_adv-group-1,0.873,0.783,0.111,0.074,0.264,0.949,0.336
adv-all-fair_adv-delta,-0.117,0.009,0.189,0.065,0.061,-0.009,0.061
adv-all-fair_resample-all,0.785,0.765,0.236,0.142,0.346,0.921,0.000
adv-all-fair_resample-group-0,0.759,0.779,0.299,0.145,0.340,0.938,0.664
adv-all-fair_resample-group-1,0.839,0.766,0.111,0.134,0.377,0.896,0.336
adv-all-fair_resample-delta,-0.080,0.013,0.189,0.011,-0.038,0.042,0.042
adv-konstantinov-all,0.816,0.839,0.236,0.149,0.425,0.936,0.000
adv-konstantinov-group-0,0.778,0.823,0.299,0.213,0.485,0.903,0.664
adv-konstantinov-group-1,0.891,0.806,0.111,0.021,0.105,0.989,0.336
adv-konstantinov-delta,-0.113,0.017,0.189,0.192,0.381,-0.086,0.381
adv-konstantinov-fair_reg-all,0.700,0.803,0.236,0.425,0.764,0.680,0.000
adv-konstantinov-fair_reg-group-0,0.732,0.823,0.299,0.418,0.750,0.724,0.664
adv-konstantinov-fair_reg-group-1,0.635,0.807,0.111,0.439,0.837,0.610,0.336
adv-konstantinov-fair_reg-delta,0.097,0.016,0.189,-0.021,-0.087,0.114,0.114
