method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.659,0.706,0.448,0.392,0.557,0.742,0.000
original-group-0,0.662,0.721,0.468,0.459,0.629,0.690,0.797
original-group-1,0.649,0.625,0.367,0.127,0.196,0.912,0.203
original-delta,0.012,0.096,0.102,0.332,0.433,-0.222,0.433
original-fair_reg-all,0.659,0.703,0.448,0.474,0.649,0.667,0.000
original-fair_reg-group-0,0.671,0.722,0.468,0.485,0.666,0.675,0.797
original-fair_reg-group-1,0.614,0.626,0.367,0.434,0.565,0.642,0.203
original-fair_reg-delta,0.057,0.095,0.102,0.050,0.101,0.033,0.101
original-fair_pp-all,0.657,0.702,0.448,0.462,0.633,0.677,0.000
original-fair_pp-group-0,0.670,0.721,0.468,0.467,0.646,0.690,0.797
original-fair_pp-group-1,0.610,0.625,0.367,0.438,0.565,0.635,0.203
original-fair_pp-delta,0.060,0.096,0.102,0.029,0.081,0.055,0.081
original-fair_adv-all,0.657,0.707,0.448,0.364,0.524,0.765,0.000
original-fair_adv-group-0,0.668,0.721,0.468,0.396,0.568,0.755,0.797
original-fair_adv-group-1,0.618,0.625,0.367,0.239,0.304,0.799,0.203
original-fair_adv-delta,0.050,0.096,0.102,0.157,0.264,-0.043,0.264
original-fair_resample-all,0.659,0.705,0.448,0.384,0.548,0.749,0.000
original-fair_resample-group-0,0.671,0.722,0.468,0.395,0.570,0.759,0.797
original-fair_resample-group-1,0.614,0.629,0.367,0.339,0.435,0.717,0.203
original-fair_resample-delta,0.057,0.093,0.102,0.057,0.136,0.042,0.136
adv-clean-all,0.668,0.708,0.448,0.362,0.533,0.777,0.000
adv-clean-group-0,0.673,0.723,0.468,0.430,0.610,0.728,0.797
adv-clean-group-1,0.649,0.628,0.367,0.096,0.152,0.937,0.203
adv-clean-delta,0.023,0.094,0.102,0.334,0.457,-0.209,0.457
adv-clean-fair_reg-all,0.662,0.704,0.448,0.474,0.653,0.670,0.000
adv-clean-fair_reg-group-0,0.675,0.723,0.468,0.485,0.670,0.679,0.797
adv-clean-fair_reg-group-1,0.614,0.629,0.367,0.434,0.565,0.642,0.203
adv-clean-fair_reg-delta,0.061,0.094,0.102,0.050,0.105,0.037,0.105
adv-clean-fair_pp-all,0.657,0.704,0.448,0.483,0.656,0.658,0.000
adv-clean-fair_pp-group-0,0.675,0.723,0.468,0.485,0.670,0.679,0.797
adv-clean-fair_pp-group-1,0.590,0.628,0.367,0.474,0.587,0.591,0.203
adv-clean-fair_pp-delta,0.085,0.094,0.102,0.011,0.083,0.088,0.088
adv-clean-fair_adv-all,0.656,0.709,0.448,0.366,0.524,0.762,0.000
