method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.792,0.862,0.352,0.311,0.646,0.871,0.000
original-group-0,0.771,0.854,0.427,0.410,0.712,0.815,0.523
original-group-1,0.815,0.855,0.270,0.203,0.533,0.919,0.477
original-delta,-0.044,-0.001,0.157,0.207,0.178,-0.104,0.178
original-fair_reg-all,0.753,0.844,0.352,0.444,0.780,0.739,0.000
original-fair_reg-group-0,0.770,0.854,0.427,0.442,0.748,0.787,0.523
original-fair_reg-group-1,0.735,0.855,0.270,0.446,0.836,0.698,0.477
original-fair_reg-delta,0.035,-0.001,0.157,-0.005,-0.089,0.089,0.089
original-fair_pp-all,0.774,0.845,0.352,0.300,0.605,0.866,0.000
original-fair_pp-group-0,0.752,0.854,0.427,0.297,0.557,0.897,0.523
original-fair_pp-group-1,0.798,0.855,0.270,0.303,0.688,0.839,0.477
original-fair_pp-delta,-0.047,-0.001,0.157,-0.006,-0.131,0.058,0.131
original-fair_adv-all,0.789,0.859,0.352,0.308,0.638,0.871,0.000
original-fair_adv-group-0,0.767,0.855,0.427,0.371,0.661,0.845,0.523
original-fair_adv-group-1,0.814,0.855,0.270,0.240,0.599,0.893,0.477
original-fair_adv-delta,-0.047,-0.000,0.157,0.131,0.062,-0.048,0.062
original-fair_resample-all,0.783,0.854,0.352,0.306,0.626,0.869,0.000
original-fair_resample-group-0,0.761,0.854,0.427,0.341,0.619,0.867,0.523
original-fair_resample-group-1,0.808,0.855,0.270,0.267,0.639,0.870,0.477
original-fair_resample-delta,-0.047,-0.001,0.157,0.073,-0.021,-0.003,0.021
adv-clean-all,0.791,0.862,0.352,0.305,0.636,0.874,0.000
adv-clean-group-0,0.770,0.855,0.427,0.407,0.707,0.817,0.523
adv-clean-group-1,0.813,0.855,0.270,0.194,0.513,0.924,0.477
adv-clean-delta,-0.043,-0.000,0.157,0.213,0.195,-0.107,0.195
adv-clean-fair_reg-all,0.754,0.845,0.352,0.443,0.779,0.740,0.000
adv-clean-fair_reg-group-0,0.771,0.855,0.427,0.441,0.748,0.788,0.523
adv-clean-fair_reg-group-1,0.735,0.855,0.270,0.445,0.834,0.699,0.477
adv-clean-fair_reg-delta,0.036,-0.000,0.157,-0.004,-0.086,0.089,0.089
adv-clean-fair_pp-all,0.774,0.845,0.352,0.301,0.607,0.865,0.000
adv-clean-fair_pp-group-0,0.753,0.855,0.427,0.298,0.560,0.897,0.523
adv-clean-fair_pp-group-1,0.798,0.855,0.270,0.304,0.689,0.838,0.477
adv-clean-fair_pp-delta,-0.045,-0.000,0.157,-0.006,-0.129,0.058,0.129
adv-clean-fair_adv-all,0.788,0.859,0.352,0.302,0.628,0.875,0.000
adv-clean-fair_adv-group-0,0.766,0.855,0.427,0.366,0.654,0.849,0.523
adv-clean-fair_adv-group-1,0.813,0.854,0.270,0.232,0.584,0.898,0.477
adv-clean-fair_adv-delta,-0.048,0.000,0.157,0.134,0.070,-0.049,0.070
adv-clean-fair_resample-all,0.784,0.854,0.352,0.296,0.615,0.876,0.000
adv-clean-fair_resample-group-0,0.761,0.854,0.427,0.334,0.610,0.873,0.523
adv-clean-fair_resample-group-1,0.810,0.855,0.270,0.256,0.622,0.879,0.477
adv-clean-fair_resample-delta,-0.049,-0.000,0.157,0.078,-0.012,-0.006,0.012
adv-all-all,0.769,0.838,0.352,0.300,0.598,0.863,0.000
adv-all-group-0,0.748,0.853,0.427,0.286,0.540,0.902,0.523
adv-all-group-1,0.793,0.852,0.270,0.314,0.699,0.828,0.477
adv-all-delta,-0.046,0.000,0.157,-0.028,-0.159,0.074,0.159
adv-all-fair_reg-all,0.764,0.855,0.352,0.448,0.801,0.744,0.000
adv-all-fair_reg-group-0,0.764,0.852,0.427,0.504,0.813,0.727,0.523
adv-all-fair_reg-group-1,0.765,0.852,0.270,0.386,0.780,0.759,0.477
adv-all-fair_reg-delta,-0.001,-0.000,0.157,0.118,0.033,-0.033,0.033
adv-all-fair_pp-all,0.785,0.855,0.352,0.319,0.647,0.860,0.000
adv-all-fair_pp-group-0,0.764,0.853,0.427,0.368,0.655,0.845,0.523
adv-all-fair_pp-group-1,0.807,0.852,0.270,0.264,0.633,0.872,0.477
adv-all-fair_pp-delta,-0.043,0.000,0.157,0.104,0.022,-0.026,0.026
adv-all-fair_adv-all,0.779,0.849,0.352,0.300,0.612,0.870,0.000
adv-all-fair_adv-group-0,0.757,0.852,0.427,0.322,0.593,0.879,0.523
adv-all-fair_adv-group-1,0.804,0.853,0.270,0.275,0.646,0.863,0.477
adv-all-fair_adv-delta,-0.047,-0.000,0.157,0.047,-0.054,0.017,0.054
adv-all-fair_resample-all,0.782,0.852,0.352,0.300,0.617,0.871,0.000
adv-all-fair_resample-group-0,0.759,0.853,0.427,0.333,0.607,0.872,0.523
adv-all-fair_resample-group-1,0.807,0.852,0.270,0.265,0.634,0.871,0.477
adv-all-fair_resample-delta,-0.048,0.001,0.157,0.067,-0.027,0.001,0.027
adv-konstantinov-all,0.769,0.838,0.352,0.300,0.598,0.863,0.294
adv-konstantinov-group-0,0.748,0.853,0.427,0.286,0.540,0.902,0.523
adv-konstantinov-group-1,0.793,0.852,0.270,0.314,0.699,0.828,0.477
adv-konstantinov-delta,-0.046,0.000,0.157,-0.028,-0.159,0.074,0.159
adv-konstantinov-fair_reg-all,0.764,0.855,0.352,0.448,0.801,0.744,0.000
adv-konstantinov-fair_reg-group-0,0.764,0.852,0.427,0.504,0.813,0.727,0.523
adv-konstantinov-fair_reg-group-1,0.765,0.852,0.270,0.386,0.780,0.759,0.477
adv-konstantinov-fair_reg-delta,-0.001,-0.000,0.157,0.118,0.033,-0.033,0.033
adv-konstantinov-fair_pp-all,0.785,0.855,0.352,0.319,0.647,0.860,0.000
adv-konstantinov-fair_pp-group-0,0.764,0.853,0.427,0.368,0.655,0.845,0.523
adv-konstantinov-fair_pp-group-1,0.807,0.852,0.270,0.264,0.633,0.872,0.477
adv-konstantinov-fair_pp-delta,-0.043,0.000,0.157,0.104,0.022,-0.026,0.026
adv-konstantinov-fair_adv-all,0.779,0.849,0.352,0.300,0.612,0.870,0.000
adv-konstantinov-fair_adv-group-0,0.757,0.852,0.427,0.322,0.593,0.879,0.523
adv-konstantinov-fair_adv-group-1,0.804,0.853,0.270,0.275,0.646,0.863,0.477
adv-konstantinov-fair_adv-delta,-0.047,-0.000,0.157,0.047,-0.054,0.017,0.054
adv-konstantinov-fair_resample-all,0.781,0.851,0.352,0.299,0.613,0.872,0.000
adv-konstantinov-fair_resample-group-0,0.758,0.853,0.427,0.331,0.604,0.873,0.523
adv-konstantinov-fair_resample-group-1,0.806,0.852,0.270,0.264,0.630,0.871,0.477
adv-konstantinov-fair_resample-delta,-0.049,0.001,0.157,0.067,-0.027,0.001,0.027
adv-selected-all,0.790,0.861,0.352,0.304,0.633,0.875,0.000
adv-selected-group-0,0.769,0.854,0.427,0.406,0.705,0.817,0.523
adv-selected-group-1,0.812,0.854,0.270,0.192,0.507,0.925,0.477
adv-selected-delta,-0.043,0.000,0.157,0.215,0.198,-0.108,0.198
adv-selected-fair_reg-all,0.754,0.843,0.352,0.439,0.774,0.743,0.077
adv-selected-fair_reg-group-0,0.771,0.854,0.427,0.434,0.740,0.794,0.523
adv-selected-fair_reg-group-1,0.735,0.854,0.270,0.444,0.832,0.700,0.477
adv-selected-fair_reg-delta,0.035,0.000,0.157,-0.009,-0.092,0.094,0.094
adv-selected-fair_pp-all,0.774,0.844,0.352,0.299,0.603,0.866,0.115
adv-selected-fair_pp-group-0,0.751,0.854,0.427,0.294,0.553,0.899,0.523
adv-selected-fair_pp-group-1,0.798,0.854,0.270,0.305,0.691,0.838,0.477
adv-selected-fair_pp-delta,-0.047,0.000,0.157,-0.011,-0.138,0.061,0.138
adv-selected-fair_adv-all,0.788,0.858,0.352,0.300,0.626,0.877,0.231
adv-selected-fair_adv-group-0,0.765,0.854,0.427,0.366,0.654,0.848,0.523
adv-selected-fair_adv-group-1,0.813,0.854,0.270,0.228,0.577,0.901,0.477
adv-selected-fair_adv-delta,-0.048,0.001,0.157,0.138,0.078,-0.052,0.078
adv-selected-fair_resample-all,0.783,0.854,0.352,0.297,0.614,0.875,0.000
adv-selected-fair_resample-group-0,0.759,0.854,0.427,0.331,0.605,0.873,0.523
adv-selected-fair_resample-group-1,0.810,0.854,0.270,0.260,0.629,0.876,0.477
adv-selected-fair_resample-delta,-0.051,-0.000,0.157,0.071,-0.024,-0.003,0.024
adv-voting-all,0.789,0.858,0.352,0.304,0.631,0.874,0.078
adv-voting-group-0,0.767,0.853,0.427,0.374,0.666,0.843,0.523
adv-voting-group-1,0.813,0.854,0.270,0.226,0.572,0.901,0.477
adv-voting-delta,-0.046,-0.001,0.157,0.148,0.093,-0.059,0.093
adv-voting-fair_reg-all,0.743,0.835,0.352,0.445,0.768,0.730,0.063
adv-voting-fair_reg-group-0,0.770,0.854,0.427,0.416,0.718,0.809,0.523
adv-voting-fair_reg-group-1,0.714,0.854,0.270,0.478,0.856,0.662,0.477
adv-voting-fair_reg-delta,0.056,0.001,0.157,-0.062,-0.139,0.147,0.147
adv-voting-fair_pp-all,0.772,0.843,0.352,0.266,0.554,0.890,0.107
adv-voting-fair_pp-group-0,0.741,0.854,0.427,0.263,0.505,0.917,0.523
adv-voting-fair_pp-group-1,0.806,0.852,0.270,0.269,0.639,0.868,0.477
adv-voting-fair_pp-delta,-0.065,0.002,0.157,-0.006,-0.135,0.049,0.135
adv-voting-fair_adv-all,0.782,0.852,0.352,0.305,0.624,0.868,0.101
adv-voting-fair_adv-group-0,0.762,0.854,0.427,0.334,0.612,0.873,0.523
adv-voting-fair_adv-group-1,0.805,0.853,0.270,0.273,0.644,0.864,0.477
adv-voting-fair_adv-delta,-0.043,0.001,0.157,0.061,-0.032,0.009,0.032
adv-voting-fair_resample-all,0.774,0.841,0.352,0.305,0.613,0.861,0.089
adv-voting-fair_resample-group-0,0.753,0.851,0.427,0.300,0.563,0.895,0.523
adv-voting-fair_resample-group-1,0.796,0.853,0.270,0.311,0.699,0.832,0.477
adv-voting-fair_resample-delta,-0.043,-0.002,0.157,-0.011,-0.136,0.063,0.136
adv-TERM-all,0.760,0.829,0.352,0.188,0.426,0.941,0.000
adv-TERM-group-0,0.712,0.838,0.427,0.187,0.382,0.958,0.523
adv-TERM-group-1,0.813,0.840,0.270,0.189,0.503,0.927,0.477
adv-TERM-delta,-0.101,-0.002,0.157,-0.002,-0.121,0.031,0.121
adv-TERM-fair_pp-all,0.781,0.843,0.352,0.299,0.614,0.872,0.000
adv-TERM-fair_pp-group-0,0.756,0.839,0.427,0.342,0.616,0.861,0.523
adv-TERM-fair_pp-group-1,0.808,0.840,0.270,0.251,0.610,0.881,0.477
adv-TERM-fair_pp-delta,-0.052,-0.001,0.157,0.091,0.005,-0.020,0.020
adv-TERM-fair_resample-all,0.753,0.809,0.352,0.182,0.409,0.941,0.000
