method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.700,0.702,0.675,0.815,0.881,0.323,0.000
original-group-0,0.691,0.705,0.678,0.852,0.901,0.250,0.745
original-group-1,0.725,0.708,0.667,0.706,0.824,0.529,0.255
original-delta,-0.034,-0.003,0.011,0.146,0.077,-0.279,0.279
original-fair_reg-all,0.685,0.706,0.675,0.570,0.689,0.677,0.000
original-fair_reg-group-0,0.685,0.705,0.678,0.577,0.693,0.667,0.745
original-fair_reg-group-1,0.686,0.706,0.667,0.549,0.676,0.706,0.255
original-fair_reg-delta,-0.002,-0.001,0.011,0.028,0.017,-0.039,0.039
original-fair_pp-all,0.685,0.707,0.675,0.820,0.874,0.292,0.000
original-fair_pp-group-0,0.691,0.705,0.678,0.826,0.881,0.292,0.745
original-fair_pp-group-1,0.667,0.708,0.667,0.804,0.853,0.294,0.255
original-fair_pp-delta,0.025,-0.003,0.011,0.022,0.028,-0.002,0.028
original-fair_adv-all,0.690,0.705,0.675,0.815,0.874,0.308,0.000
original-fair_adv-group-0,0.691,0.705,0.678,0.826,0.881,0.292,0.745
original-fair_adv-group-1,0.686,0.708,0.667,0.784,0.853,0.353,0.255
original-fair_adv-delta,0.005,-0.003,0.011,0.041,0.028,-0.061,0.061
original-fair_resample-all,0.685,0.698,0.675,0.790,0.852,0.338,0.000
original-fair_resample-group-0,0.678,0.696,0.678,0.812,0.861,0.292,0.745
original-fair_resample-group-1,0.706,0.711,0.667,0.725,0.824,0.471,0.255
original-fair_resample-delta,-0.028,-0.015,0.011,0.087,0.038,-0.179,0.179
adv-clean-all,0.680,0.691,0.675,0.755,0.822,0.385,0.000
adv-clean-group-0,0.691,0.697,0.678,0.839,0.891,0.271,0.745
adv-clean-group-1,0.647,0.685,0.667,0.510,0.618,0.706,0.255
adv-clean-delta,0.044,0.012,0.011,0.329,0.273,-0.435,0.435
adv-clean-fair_reg-all,0.650,0.694,0.675,0.555,0.652,0.646,0.000
adv-clean-fair_reg-group-0,0.651,0.697,0.678,0.570,0.663,0.625,0.745
adv-clean-fair_reg-group-1,0.647,0.683,0.667,0.510,0.618,0.706,0.255
adv-clean-fair_reg-delta,0.004,0.013,0.011,0.061,0.046,-0.081,0.081
adv-clean-fair_pp-all,0.710,0.695,0.675,0.795,0.874,0.369,0.000
adv-clean-fair_pp-group-0,0.705,0.697,0.678,0.785,0.861,0.375,0.745
adv-clean-fair_pp-group-1,0.725,0.685,0.667,0.824,0.912,0.353,0.255
adv-clean-fair_pp-delta,-0.021,0.012,0.011,-0.038,-0.050,0.022,0.050
adv-clean-fair_adv-all,0.705,0.697,0.675,0.790,0.867,0.369,0.000
adv-clean-fair_adv-group-0,0.711,0.699,0.678,0.792,0.871,0.375,0.745
adv-clean-fair_adv-group-1,0.686,0.687,0.667,0.784,0.853,0.353,0.255
adv-clean-fair_adv-delta,0.025,0.012,0.011,0.008,0.018,0.022,0.022
adv-clean-fair_resample-all,0.655,0.656,0.675,0.720,0.778,0.400,0.000
adv-clean-fair_resample-group-0,0.664,0.653,0.678,0.745,0.802,0.375,0.745
adv-clean-fair_resample-group-1,0.627,0.661,0.667,0.647,0.706,0.471,0.255
adv-clean-fair_resample-delta,0.037,-0.008,0.011,0.098,0.096,-0.096,0.096
adv-all-all,0.650,0.682,0.675,0.595,0.681,0.585,0.000
adv-all-group-0,0.617,0.696,0.678,0.483,0.574,0.708,0.745
