method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.806,0.833,0.240,0.146,0.401,0.934,0.000
original-group-0,0.765,0.815,0.306,0.212,0.462,0.898,0.664
original-group-1,0.888,0.799,0.112,0.016,0.071,0.990,0.336
original-delta,-0.123,0.015,0.194,0.196,0.391,-0.093,0.391
original-fair_reg-all,0.704,0.796,0.240,0.421,0.760,0.686,0.000
original-fair_reg-group-0,0.733,0.815,0.306,0.421,0.752,0.724,0.664
original-fair_reg-group-1,0.647,0.801,0.112,0.422,0.807,0.627,0.336
original-fair_reg-delta,0.086,0.014,0.194,-0.001,-0.055,0.098,0.098
original-fair_pp-all,0.785,0.797,0.240,0.133,0.331,0.929,0.000
original-fair_pp-group-0,0.753,0.815,0.306,0.136,0.318,0.944,0.664
original-fair_pp-group-1,0.850,0.799,0.112,0.128,0.403,0.907,0.336
original-fair_pp-delta,-0.098,0.015,0.194,0.008,-0.085,0.037,0.085
original-fair_adv-all,0.805,0.828,0.240,0.144,0.393,0.936,0.000
original-fair_adv-group-0,0.765,0.814,0.306,0.191,0.428,0.913,0.664
original-fair_adv-group-1,0.885,0.800,0.112,0.049,0.204,0.971,0.336
original-fair_adv-delta,-0.120,0.014,0.194,0.142,0.224,-0.058,0.224
original-fair_resample-all,0.791,0.811,0.240,0.141,0.358,0.928,0.000
original-fair_resample-group-0,0.756,0.812,0.306,0.160,0.363,0.929,0.664
original-fair_resample-group-1,0.859,0.805,0.112,0.102,0.327,0.926,0.336
original-fair_resample-delta,-0.103,0.007,0.194,0.058,0.036,0.003,0.036
adv-clean-all,0.805,0.833,0.240,0.158,0.423,0.926,0.000
adv-clean-group-0,0.764,0.815,0.306,0.228,0.486,0.886,0.664
adv-clean-group-1,0.886,0.798,0.112,0.019,0.079,0.988,0.336
adv-clean-delta,-0.123,0.016,0.194,0.208,0.407,-0.102,0.407
adv-clean-fair_reg-all,0.704,0.796,0.240,0.421,0.759,0.686,0.000
adv-clean-fair_reg-group-0,0.733,0.815,0.306,0.419,0.749,0.726,0.664
adv-clean-fair_reg-group-1,0.646,0.800,0.112,0.424,0.815,0.625,0.336
adv-clean-fair_reg-delta,0.087,0.015,0.194,-0.005,-0.065,0.101,0.101
adv-clean-fair_pp-all,0.783,0.795,0.240,0.129,0.317,0.930,0.000
adv-clean-fair_pp-group-0,0.749,0.815,0.306,0.131,0.304,0.945,0.664
adv-clean-fair_pp-group-1,0.849,0.798,0.112,0.125,0.384,0.907,0.336
adv-clean-fair_pp-delta,-0.100,0.016,0.194,0.006,-0.080,0.038,0.080
adv-clean-fair_adv-all,0.802,0.827,0.240,0.141,0.382,0.935,0.000
adv-clean-fair_adv-group-0,0.763,0.814,0.306,0.183,0.412,0.917,0.664
adv-clean-fair_adv-group-1,0.879,0.800,0.112,0.058,0.221,0.962,0.336
adv-clean-fair_adv-delta,-0.117,0.014,0.194,0.125,0.191,-0.045,0.191
adv-clean-fair_resample-all,0.793,0.808,0.240,0.146,0.372,0.926,0.000
adv-clean-fair_resample-group-0,0.759,0.810,0.306,0.168,0.380,0.925,0.664
adv-clean-fair_resample-group-1,0.860,0.802,0.112,0.102,0.330,0.927,0.336
adv-clean-fair_resample-delta,-0.101,0.008,0.194,0.066,0.051,-0.001,0.051
adv-all-all,0.806,0.833,0.240,0.146,0.401,0.934,0.000
adv-all-group-0,0.765,0.815,0.306,0.212,0.462,0.898,0.664
adv-all-group-1,0.888,0.799,0.112,0.016,0.071,0.990,0.336
adv-all-delta,-0.123,0.015,0.194,0.196,0.391,-0.093,0.391
