method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.787,0.859,0.352,0.315,0.644,0.864,0.000
original-group-0,0.763,0.849,0.427,0.419,0.713,0.801,0.523
original-group-1,0.812,0.857,0.270,0.201,0.525,0.918,0.477
original-delta,-0.049,-0.009,0.157,0.217,0.188,-0.117,0.188
original-fair_reg-all,0.753,0.843,0.352,0.445,0.782,0.737,0.000
original-fair_reg-group-0,0.764,0.849,0.427,0.448,0.748,0.776,0.523
original-fair_reg-group-1,0.741,0.857,0.270,0.443,0.840,0.704,0.477
original-fair_reg-delta,0.023,-0.009,0.157,0.005,-0.092,0.072,0.092
original-fair_pp-all,0.771,0.844,0.352,0.310,0.615,0.856,0.000
original-fair_pp-group-0,0.749,0.849,0.427,0.309,0.568,0.884,0.523
original-fair_pp-group-1,0.795,0.857,0.270,0.311,0.697,0.831,0.477
original-fair_pp-delta,-0.046,-0.009,0.157,-0.003,-0.129,0.053,0.129
original-fair_adv-all,0.784,0.857,0.352,0.310,0.634,0.866,0.000
original-fair_adv-group-0,0.760,0.849,0.427,0.378,0.662,0.833,0.523
original-fair_adv-group-1,0.810,0.857,0.270,0.236,0.585,0.893,0.477
original-fair_adv-delta,-0.050,-0.008,0.157,0.143,0.077,-0.060,0.077
original-fair_resample-all,0.779,0.852,0.352,0.309,0.626,0.863,0.000
original-fair_resample-group-0,0.755,0.848,0.427,0.347,0.619,0.856,0.523
original-fair_resample-group-1,0.806,0.857,0.270,0.268,0.638,0.868,0.477
original-fair_resample-delta,-0.051,-0.009,0.157,0.078,-0.019,-0.011,0.019
adv-clean-all,0.786,0.859,0.352,0.311,0.639,0.867,0.000
adv-clean-group-0,0.763,0.849,0.427,0.416,0.710,0.803,0.523
adv-clean-group-1,0.811,0.857,0.270,0.196,0.514,0.921,0.477
adv-clean-delta,-0.048,-0.008,0.157,0.220,0.197,-0.119,0.197
adv-clean-fair_reg-all,0.753,0.843,0.352,0.448,0.786,0.735,0.000
adv-clean-fair_reg-group-0,0.765,0.849,0.427,0.451,0.753,0.773,0.523
adv-clean-fair_reg-group-1,0.740,0.857,0.270,0.444,0.842,0.702,0.477
adv-clean-fair_reg-delta,0.025,-0.008,0.157,0.007,-0.088,0.071,0.088
adv-clean-fair_pp-all,0.771,0.844,0.352,0.315,0.622,0.852,0.000
adv-clean-fair_pp-group-0,0.751,0.849,0.427,0.314,0.575,0.881,0.523
adv-clean-fair_pp-group-1,0.794,0.857,0.270,0.316,0.704,0.827,0.477
adv-clean-fair_pp-delta,-0.043,-0.008,0.157,-0.003,-0.129,0.054,0.129
adv-clean-fair_adv-all,0.784,0.857,0.352,0.307,0.629,0.868,0.000
adv-clean-fair_adv-group-0,0.760,0.849,0.427,0.374,0.657,0.837,0.523
adv-clean-fair_adv-group-1,0.811,0.856,0.270,0.233,0.580,0.896,0.477
adv-clean-fair_adv-delta,-0.051,-0.007,0.157,0.141,0.076,-0.059,0.076
adv-clean-fair_resample-all,0.779,0.852,0.352,0.301,0.613,0.868,0.000
adv-clean-fair_resample-group-0,0.753,0.848,0.427,0.338,0.607,0.862,0.523
adv-clean-fair_resample-group-1,0.807,0.857,0.270,0.260,0.624,0.874,0.477
adv-clean-fair_resample-delta,-0.054,-0.009,0.157,0.078,-0.017,-0.013,0.017
adv-all-all,0.772,0.845,0.352,0.328,0.641,0.842,0.000
adv-all-group-0,0.752,0.848,0.427,0.332,0.598,0.867,0.523
adv-all-group-1,0.793,0.858,0.270,0.324,0.717,0.821,0.477
adv-all-delta,-0.041,-0.010,0.157,0.008,-0.118,0.046,0.118
adv-all-fair_reg-all,0.767,0.856,0.352,0.440,0.795,0.752,0.000
adv-all-fair_reg-group-0,0.757,0.848,0.427,0.502,0.804,0.723,0.523
adv-all-fair_reg-group-1,0.778,0.858,0.270,0.373,0.779,0.777,0.477
adv-all-fair_reg-delta,-0.020,-0.010,0.157,0.129,0.024,-0.054,0.054
adv-all-fair_pp-all,0.783,0.856,0.352,0.331,0.662,0.849,0.000
adv-all-fair_pp-group-0,0.762,0.848,0.427,0.388,0.675,0.826,0.523
adv-all-fair_pp-group-1,0.806,0.858,0.270,0.269,0.639,0.868,0.477
adv-all-fair_pp-delta,-0.045,-0.010,0.157,0.119,0.036,-0.042,0.042
adv-all-fair_adv-all,0.776,0.850,0.352,0.329,0.649,0.845,0.000
adv-all-fair_adv-group-0,0.755,0.848,0.427,0.355,0.629,0.849,0.523
adv-all-fair_adv-group-1,0.799,0.858,0.270,0.300,0.682,0.841,0.477
adv-all-fair_adv-delta,-0.043,-0.010,0.157,0.055,-0.053,0.008,0.053
adv-all-fair_resample-all,0.778,0.852,0.352,0.328,0.651,0.847,0.000
adv-all-fair_resample-group-0,0.757,0.848,0.427,0.365,0.643,0.842,0.523
adv-all-fair_resample-group-1,0.801,0.858,0.270,0.288,0.664,0.852,0.477
adv-all-fair_resample-delta,-0.044,-0.009,0.157,0.077,-0.021,-0.009,0.021
adv-konstantinov-all,0.772,0.845,0.352,0.328,0.641,0.842,0.196
adv-konstantinov-group-0,0.752,0.848,0.427,0.332,0.598,0.867,0.523
adv-konstantinov-group-1,0.793,0.858,0.270,0.324,0.717,0.821,0.477
adv-konstantinov-delta,-0.041,-0.010,0.157,0.008,-0.118,0.046,0.118
adv-konstantinov-fair_reg-all,0.767,0.856,0.352,0.440,0.795,0.752,0.000
adv-konstantinov-fair_reg-group-0,0.757,0.848,0.427,0.502,0.804,0.723,0.523
adv-konstantinov-fair_reg-group-1,0.778,0.858,0.270,0.373,0.779,0.777,0.477
adv-konstantinov-fair_reg-delta,-0.020,-0.010,0.157,0.129,0.024,-0.054,0.054
adv-konstantinov-fair_pp-all,0.783,0.856,0.352,0.331,0.662,0.849,0.000
adv-konstantinov-fair_pp-group-0,0.762,0.848,0.427,0.388,0.675,0.826,0.523
adv-konstantinov-fair_pp-group-1,0.806,0.858,0.270,0.269,0.639,0.868,0.477
adv-konstantinov-fair_pp-delta,-0.045,-0.010,0.157,0.119,0.036,-0.042,0.042
adv-konstantinov-fair_adv-all,0.776,0.850,0.352,0.329,0.649,0.845,0.000
adv-konstantinov-fair_adv-group-0,0.755,0.848,0.427,0.355,0.629,0.849,0.523
adv-konstantinov-fair_adv-group-1,0.799,0.858,0.270,0.300,0.682,0.841,0.477
adv-konstantinov-fair_adv-delta,-0.043,-0.010,0.157,0.055,-0.053,0.008,0.053
adv-konstantinov-fair_resample-all,0.779,0.852,0.352,0.330,0.654,0.846,0.000
adv-konstantinov-fair_resample-group-0,0.758,0.848,0.427,0.367,0.646,0.841,0.523
adv-konstantinov-fair_resample-group-1,0.802,0.857,0.270,0.288,0.666,0.852,0.477
adv-konstantinov-fair_resample-delta,-0.044,-0.009,0.157,0.079,-0.020,-0.011,0.020
adv-selected-all,0.786,0.859,0.352,0.309,0.634,0.868,0.000
adv-selected-group-0,0.764,0.848,0.427,0.412,0.706,0.806,0.523
adv-selected-group-1,0.810,0.857,0.270,0.195,0.509,0.921,0.477
adv-selected-delta,-0.046,-0.008,0.157,0.217,0.197,-0.114,0.197
adv-selected-fair_reg-all,0.755,0.843,0.352,0.438,0.774,0.745,0.000
adv-selected-fair_reg-group-0,0.763,0.849,0.427,0.442,0.741,0.780,0.523
adv-selected-fair_reg-group-1,0.746,0.857,0.270,0.433,0.832,0.714,0.477
adv-selected-fair_reg-delta,0.017,-0.008,0.157,0.009,-0.091,0.066,0.091
adv-selected-fair_pp-all,0.772,0.843,0.352,0.288,0.586,0.874,0.000
adv-selected-fair_pp-group-0,0.746,0.848,0.427,0.287,0.539,0.900,0.523
adv-selected-fair_pp-group-1,0.801,0.857,0.270,0.289,0.667,0.851,0.477
adv-selected-fair_pp-delta,-0.055,-0.008,0.157,-0.001,-0.128,0.049,0.128
adv-selected-fair_adv-all,0.783,0.856,0.352,0.304,0.624,0.870,0.154
adv-selected-fair_adv-group-0,0.759,0.849,0.427,0.374,0.656,0.836,0.523
adv-selected-fair_adv-group-1,0.810,0.856,0.270,0.227,0.569,0.899,0.477
adv-selected-fair_adv-delta,-0.051,-0.007,0.157,0.147,0.086,-0.064,0.086
adv-selected-fair_resample-all,0.779,0.852,0.352,0.304,0.618,0.867,0.000
adv-selected-fair_resample-group-0,0.755,0.848,0.427,0.342,0.614,0.860,0.523
adv-selected-fair_resample-group-1,0.807,0.857,0.270,0.261,0.625,0.874,0.477
adv-selected-fair_resample-delta,-0.052,-0.009,0.157,0.082,-0.012,-0.014,0.014
adv-voting-all,0.786,0.856,0.352,0.304,0.628,0.872,0.000
adv-voting-group-0,0.763,0.847,0.427,0.384,0.673,0.830,0.523
adv-voting-group-1,0.811,0.856,0.270,0.216,0.550,0.907,0.477
adv-voting-delta,-0.048,-0.010,0.157,0.168,0.123,-0.077,0.123
adv-voting-fair_reg-all,0.744,0.833,0.352,0.447,0.771,0.729,0.018
adv-voting-fair_reg-group-0,0.765,0.848,0.427,0.420,0.716,0.801,0.523
adv-voting-fair_reg-group-1,0.720,0.856,0.270,0.477,0.866,0.666,0.477
adv-voting-fair_reg-delta,0.045,-0.008,0.157,-0.058,-0.150,0.135,0.150
adv-voting-fair_pp-all,0.772,0.840,0.352,0.286,0.582,0.875,0.035
adv-voting-fair_pp-group-0,0.746,0.849,0.427,0.280,0.530,0.906,0.523
adv-voting-fair_pp-group-1,0.800,0.855,0.270,0.293,0.671,0.847,0.477
adv-voting-fair_pp-delta,-0.054,-0.006,0.157,-0.012,-0.141,0.059,0.141
adv-voting-fair_adv-all,0.781,0.851,0.352,0.303,0.620,0.868,0.012
adv-voting-fair_adv-group-0,0.758,0.849,0.427,0.343,0.618,0.861,0.523
adv-voting-fair_adv-group-1,0.806,0.855,0.270,0.260,0.622,0.874,0.477
adv-voting-fair_adv-delta,-0.049,-0.006,0.157,0.084,-0.004,-0.013,0.013
adv-voting-fair_resample-all,0.772,0.840,0.352,0.301,0.604,0.863,0.005
adv-voting-fair_resample-group-0,0.749,0.845,0.427,0.305,0.563,0.887,0.523
adv-voting-fair_resample-group-1,0.797,0.856,0.270,0.297,0.676,0.842,0.477
adv-voting-fair_resample-delta,-0.049,-0.010,0.157,0.007,-0.113,0.045,0.113
adv-TERM-all,0.763,0.824,0.352,0.209,0.461,0.928,0.000
adv-TERM-group-0,0.719,0.827,0.427,0.211,0.419,0.943,0.523
adv-TERM-group-1,0.812,0.843,0.270,0.206,0.534,0.915,0.477
adv-TERM-delta,-0.093,-0.016,0.157,0.005,-0.115,0.028,0.115
adv-TERM-fair_pp-all,0.778,0.841,0.352,0.312,0.627,0.859,0.000
adv-TERM-fair_pp-group-0,0.753,0.831,0.427,0.366,0.639,0.838,0.523
adv-TERM-fair_pp-group-1,0.805,0.844,0.270,0.253,0.608,0.878,0.477
adv-TERM-fair_pp-delta,-0.052,-0.013,0.157,0.113,0.031,-0.040,0.040
adv-TERM-fair_resample-all,0.761,0.818,0.352,0.209,0.457,0.925,0.000
adv-TERM-fair_resample-group-0,0.715,0.825,0.427,0.202,0.403,0.948,0.523
adv-TERM-fair_resample-group-1,0.810,0.842,0.270,0.218,0.552,0.906,0.477
adv-TERM-fair_resample-delta,-0.095,-0.016,0.157,-0.016,-0.149,0.043,0.149
adv-DRO-fair_reg-all,0.718,0.799,0.352,0.135,0.291,0.950,0.000
adv-DRO-fair_reg-group-0,0.674,0.805,0.427,0.161,0.307,0.947,0.523
adv-DRO-fair_reg-group-1,0.766,0.793,0.270,0.106,0.264,0.952,0.477
adv-DRO-fair_reg-delta,-0.092,0.012,0.157,0.055,0.043,-0.005,0.043
