method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.645,0.721,0.467,0.361,0.506,0.766,0.000
original-group-0,0.635,0.712,0.492,0.416,0.552,0.715,0.805
original-group-1,0.685,0.723,0.365,0.133,0.250,0.935,0.195
original-delta,-0.050,-0.010,0.127,0.284,0.302,-0.220,0.302
original-fair_reg-all,0.657,0.713,0.467,0.453,0.617,0.691,0.000
original-fair_reg-group-0,0.652,0.713,0.492,0.460,0.613,0.689,0.805
original-fair_reg-group-1,0.676,0.723,0.365,0.423,0.636,0.699,0.195
original-fair_reg-delta,-0.024,-0.010,0.127,0.037,-0.023,-0.010,0.023
original-fair_pp-all,0.649,0.710,0.467,0.457,0.614,0.681,0.000
original-fair_pp-group-0,0.649,0.712,0.492,0.457,0.607,0.689,0.805
original-fair_pp-group-1,0.651,0.723,0.365,0.456,0.648,0.654,0.195
original-fair_pp-delta,-0.003,-0.010,0.127,0.000,-0.040,0.036,0.040
original-fair_adv-all,0.649,0.718,0.467,0.355,0.504,0.777,0.000
original-fair_adv-group-0,0.638,0.712,0.492,0.385,0.524,0.749,0.805
original-fair_adv-group-1,0.697,0.722,0.365,0.228,0.398,0.869,0.195
original-fair_adv-delta,-0.059,-0.010,0.127,0.157,0.126,-0.121,0.126
original-fair_resample-all,0.643,0.712,0.467,0.371,0.515,0.755,0.000
original-fair_resample-group-0,0.634,0.710,0.492,0.381,0.515,0.749,0.805
original-fair_resample-group-1,0.680,0.720,0.365,0.328,0.511,0.778,0.195
original-fair_resample-delta,-0.047,-0.011,0.127,0.053,0.004,-0.029,0.029
adv-clean-all,0.646,0.722,0.467,0.360,0.506,0.769,0.000
adv-clean-group-0,0.637,0.714,0.492,0.414,0.552,0.719,0.805
adv-clean-group-1,0.685,0.723,0.365,0.133,0.250,0.935,0.195
adv-clean-delta,-0.048,-0.009,0.127,0.282,0.302,-0.216,0.302
adv-clean-fair_reg-all,0.657,0.713,0.467,0.449,0.614,0.696,0.000
adv-clean-fair_reg-group-0,0.652,0.714,0.492,0.456,0.609,0.693,0.805
adv-clean-fair_reg-group-1,0.680,0.722,0.365,0.419,0.636,0.706,0.195
adv-clean-fair_reg-delta,-0.029,-0.008,0.127,0.037,-0.027,-0.013,0.027
adv-clean-fair_pp-all,0.653,0.711,0.467,0.453,0.614,0.687,0.000
adv-clean-fair_pp-group-0,0.651,0.714,0.492,0.455,0.607,0.693,0.805
adv-clean-fair_pp-group-1,0.660,0.723,0.365,0.448,0.648,0.667,0.195
