method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.730,0.707,0.720,0.820,0.882,0.339,0.000
original-group-0,0.741,0.726,0.748,0.844,0.891,0.294,0.675
original-group-1,0.708,0.652,0.662,0.769,0.860,0.409,0.325
original-delta,0.033,0.074,0.087,0.075,0.031,-0.115,0.115
original-fair_reg-all,0.685,0.703,0.720,0.615,0.708,0.625,0.000
original-fair_reg-group-0,0.719,0.727,0.748,0.630,0.733,0.676,0.675
original-fair_reg-group-1,0.615,0.652,0.662,0.585,0.651,0.545,0.325
original-fair_reg-delta,0.103,0.074,0.087,0.045,0.082,0.131,0.131
original-fair_pp-all,0.725,0.703,0.720,0.755,0.833,0.446,0.000
original-fair_pp-group-0,0.733,0.726,0.748,0.748,0.822,0.471,0.675
original-fair_pp-group-1,0.708,0.652,0.662,0.769,0.860,0.409,0.325
original-fair_pp-delta,0.026,0.074,0.087,-0.021,-0.039,0.061,0.061
original-fair_adv-all,0.745,0.705,0.720,0.845,0.910,0.321,0.000
original-fair_adv-group-0,0.741,0.727,0.748,0.844,0.891,0.294,0.675
original-fair_adv-group-1,0.754,0.653,0.662,0.846,0.953,0.364,0.325
original-fair_adv-delta,-0.013,0.074,0.087,-0.002,-0.062,-0.070,0.070
original-fair_resample-all,0.735,0.721,0.720,0.825,0.889,0.339,0.000
original-fair_resample-group-0,0.741,0.738,0.748,0.844,0.891,0.294,0.675
original-fair_resample-group-1,0.723,0.682,0.662,0.785,0.884,0.409,0.325
original-fair_resample-delta,0.018,0.057,0.087,0.060,0.007,-0.115,0.115
adv-clean-all,0.740,0.710,0.720,0.840,0.903,0.321,0.000
adv-clean-group-0,0.741,0.725,0.748,0.859,0.901,0.265,0.675
adv-clean-group-1,0.738,0.668,0.662,0.800,0.907,0.409,0.325
adv-clean-delta,0.002,0.057,0.087,0.059,-0.006,-0.144,0.144
adv-clean-fair_reg-all,0.690,0.705,0.720,0.630,0.722,0.607,0.000
adv-clean-fair_reg-group-0,0.704,0.729,0.748,0.615,0.713,0.676,0.675
adv-clean-fair_reg-group-1,0.662,0.665,0.662,0.662,0.744,0.500,0.325
adv-clean-fair_reg-delta,0.042,0.064,0.087,-0.047,-0.031,0.176,0.176
adv-clean-fair_pp-all,0.730,0.704,0.720,0.900,0.938,0.196,0.000
adv-clean-fair_pp-group-0,0.733,0.725,0.748,0.881,0.911,0.206,0.675
adv-clean-fair_pp-group-1,0.723,0.668,0.662,0.938,1.000,0.182,0.325
adv-clean-fair_pp-delta,0.010,0.057,0.087,-0.057,-0.089,0.024,0.089
adv-clean-fair_adv-all,0.740,0.706,0.720,0.820,0.889,0.357,0.000
adv-clean-fair_adv-group-0,0.748,0.726,0.748,0.807,0.871,0.382,0.675
adv-clean-fair_adv-group-1,0.723,0.668,0.662,0.846,0.930,0.318,0.325
adv-clean-fair_adv-delta,0.025,0.058,0.087,-0.039,-0.059,0.064,0.064
adv-clean-fair_resample-all,0.760,0.722,0.720,0.810,0.896,0.411,0.000
adv-clean-fair_resample-group-0,0.763,0.745,0.748,0.807,0.881,0.412,0.675
adv-clean-fair_resample-group-1,0.754,0.685,0.662,0.815,0.930,0.409,0.325
adv-clean-fair_resample-delta,0.009,0.060,0.087,-0.008,-0.049,0.003,0.049
adv-all-all,0.750,0.708,0.720,0.830,0.903,0.357,0.000
adv-all-group-0,0.748,0.733,0.748,0.837,0.891,0.324,0.675
adv-all-group-1,0.754,0.654,0.662,0.815,0.930,0.409,0.325
adv-all-delta,-0.006,0.079,0.087,0.022,-0.039,-0.086,0.086
adv-all-fair_reg-all,0.675,0.707,0.720,0.615,0.701,0.607,0.000
adv-all-fair_reg-group-0,0.704,0.735,0.748,0.615,0.713,0.676,0.675
adv-all-fair_reg-group-1,0.615,0.654,0.662,0.615,0.674,0.500,0.325
adv-all-fair_reg-delta,0.088,0.081,0.087,-0.001,0.038,0.176,0.176
adv-all-fair_pp-all,0.735,0.706,0.720,0.755,0.840,0.464,0.000
adv-all-fair_pp-group-0,0.726,0.733,0.748,0.726,0.802,0.500,0.675
adv-all-fair_pp-group-1,0.754,0.654,0.662,0.815,0.930,0.409,0.325
adv-all-fair_pp-delta,-0.028,0.079,0.087,-0.089,-0.128,0.091,0.128
adv-all-fair_adv-all,0.745,0.708,0.720,0.835,0.903,0.339,0.000
adv-all-fair_adv-group-0,0.748,0.734,0.748,0.822,0.881,0.353,0.675
adv-all-fair_adv-group-1,0.738,0.654,0.662,0.862,0.953,0.318,0.325
adv-all-fair_adv-delta,0.010,0.079,0.087,-0.039,-0.072,0.035,0.072
adv-all-fair_resample-all,0.730,0.696,0.720,0.770,0.847,0.429,0.000
