method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.672,0.710,0.451,0.361,0.537,0.783,0.000
original-group-0,0.661,0.707,0.488,0.409,0.572,0.746,0.815
original-group-1,0.719,0.644,0.289,0.149,0.273,0.901,0.185
original-delta,-0.058,0.062,0.198,0.260,0.300,-0.155,0.300
original-fair_reg-all,0.659,0.693,0.451,0.450,0.621,0.690,0.000
original-fair_reg-group-0,0.670,0.707,0.488,0.454,0.627,0.711,0.815
original-fair_reg-group-1,0.610,0.645,0.289,0.434,0.576,0.623,0.185
original-fair_reg-delta,0.061,0.062,0.198,0.020,0.052,0.088,0.088
original-fair_pp-all,0.657,0.690,0.451,0.434,0.601,0.704,0.000
original-fair_pp-group-0,0.669,0.707,0.488,0.435,0.607,0.729,0.815
original-fair_pp-group-1,0.605,0.644,0.289,0.430,0.561,0.623,0.185
original-fair_pp-delta,0.064,0.062,0.198,0.005,0.046,0.105,0.105
original-fair_adv-all,0.662,0.704,0.451,0.363,0.528,0.773,0.000
original-fair_adv-group-0,0.658,0.706,0.488,0.386,0.546,0.766,0.815
original-fair_adv-group-1,0.680,0.644,0.289,0.259,0.394,0.796,0.185
original-fair_adv-delta,-0.021,0.062,0.198,0.128,0.152,-0.031,0.152
original-fair_resample-all,0.652,0.697,0.451,0.386,0.542,0.742,0.000
original-fair_resample-group-0,0.657,0.709,0.488,0.389,0.548,0.762,0.815
original-fair_resample-group-1,0.627,0.644,0.289,0.373,0.500,0.679,0.185
original-fair_resample-delta,0.030,0.065,0.198,0.016,0.048,0.083,0.083
adv-clean-all,0.668,0.706,0.451,0.362,0.533,0.779,0.000
adv-clean-group-0,0.656,0.702,0.488,0.408,0.566,0.742,0.815
adv-clean-group-1,0.719,0.649,0.289,0.158,0.288,0.895,0.185
adv-clean-delta,-0.063,0.052,0.198,0.250,0.278,-0.153,0.278
adv-clean-fair_reg-all,0.656,0.690,0.451,0.453,0.621,0.684,0.000
adv-clean-fair_reg-group-0,0.666,0.702,0.488,0.458,0.627,0.703,0.815
adv-clean-fair_reg-group-1,0.610,0.649,0.289,0.434,0.576,0.623,0.185
adv-clean-fair_reg-delta,0.057,0.053,0.198,0.024,0.052,0.080,0.080
adv-clean-fair_pp-all,0.641,0.686,0.451,0.394,0.539,0.726,0.000
adv-clean-fair_pp-group-0,0.648,0.702,0.488,0.388,0.538,0.754,0.815
adv-clean-fair_pp-group-1,0.610,0.649,0.289,0.417,0.545,0.636,0.185
adv-clean-fair_pp-delta,0.039,0.052,0.198,-0.028,-0.008,0.118,0.118
adv-clean-fair_adv-all,0.652,0.699,0.451,0.364,0.517,0.763,0.000
adv-clean-fair_adv-group-0,0.646,0.701,0.488,0.386,0.534,0.754,0.815
adv-clean-fair_adv-group-1,0.675,0.648,0.289,0.263,0.394,0.790,0.185
adv-clean-fair_adv-delta,-0.029,0.053,0.198,0.123,0.140,-0.036,0.140
adv-clean-fair_resample-all,0.647,0.692,0.451,0.383,0.533,0.740,0.000
adv-clean-fair_resample-group-0,0.652,0.704,0.488,0.388,0.542,0.758,0.815
adv-clean-fair_resample-group-1,0.623,0.640,0.289,0.360,0.470,0.685,0.185
adv-clean-fair_resample-delta,0.030,0.064,0.198,0.029,0.072,0.073,0.073
adv-all-all,0.501,0.581,0.451,0.174,0.140,0.798,0.000
adv-all-group-0,0.527,0.698,0.488,0.021,0.037,0.994,0.815
