method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.664,0.727,0.461,0.353,0.518,0.788,0.000
original-group-0,0.652,0.715,0.500,0.401,0.553,0.751,0.794
original-group-1,0.710,0.714,0.310,0.169,0.304,0.892,0.206
original-delta,-0.058,0.000,0.190,0.232,0.249,-0.141,0.249
original-fair_reg-all,0.659,0.710,0.461,0.432,0.599,0.710,0.000
original-fair_reg-group-0,0.650,0.715,0.500,0.438,0.588,0.712,0.794
original-fair_reg-group-1,0.694,0.714,0.310,0.412,0.671,0.705,0.206
original-fair_reg-delta,-0.044,0.000,0.190,0.026,-0.083,0.008,0.083
original-fair_pp-all,0.660,0.710,0.461,0.430,0.598,0.713,0.000
original-fair_pp-group-0,0.651,0.715,0.500,0.435,0.586,0.716,0.794
original-fair_pp-group-1,0.694,0.714,0.310,0.412,0.671,0.705,0.206
original-fair_pp-delta,-0.043,0.000,0.190,0.023,-0.085,0.012,0.085
original-fair_adv-all,0.650,0.721,0.461,0.338,0.487,0.790,0.000
original-fair_adv-group-0,0.639,0.715,0.500,0.363,0.502,0.776,0.794
original-fair_adv-group-1,0.694,0.714,0.310,0.239,0.392,0.830,0.206
original-fair_adv-delta,-0.055,0.000,0.190,0.124,0.110,-0.054,0.110
original-fair_resample-all,0.649,0.712,0.461,0.380,0.531,0.749,0.000
original-fair_resample-group-0,0.642,0.719,0.500,0.389,0.531,0.753,0.794
original-fair_resample-group-1,0.675,0.706,0.310,0.345,0.532,0.739,0.206
original-fair_resample-delta,-0.033,0.013,0.190,0.044,-0.001,0.014,0.014
adv-clean-all,0.659,0.728,0.461,0.347,0.506,0.790,0.000
adv-clean-group-0,0.646,0.716,0.500,0.393,0.539,0.753,0.794
adv-clean-group-1,0.710,0.714,0.310,0.169,0.304,0.892,0.206
adv-clean-delta,-0.064,0.002,0.190,0.224,0.235,-0.139,0.235
adv-clean-fair_reg-all,0.661,0.709,0.461,0.447,0.617,0.698,0.000
adv-clean-fair_reg-group-0,0.656,0.716,0.500,0.452,0.608,0.704,0.794
adv-clean-fair_reg-group-1,0.678,0.712,0.310,0.427,0.671,0.682,0.206
adv-clean-fair_reg-delta,-0.022,0.004,0.190,0.025,-0.063,0.022,0.063
adv-clean-fair_pp-all,0.644,0.709,0.461,0.325,0.466,0.796,0.000
adv-clean-fair_pp-group-0,0.634,0.716,0.500,0.328,0.461,0.806,0.794
adv-clean-fair_pp-group-1,0.682,0.714,0.310,0.314,0.494,0.767,0.206
adv-clean-fair_pp-delta,-0.049,0.002,0.190,0.014,-0.032,0.039,0.039
adv-clean-fair_adv-all,0.657,0.722,0.461,0.338,0.496,0.796,0.000
adv-clean-fair_adv-group-0,0.648,0.716,0.500,0.370,0.518,0.778,0.794
adv-clean-fair_adv-group-1,0.694,0.713,0.310,0.216,0.354,0.847,0.206
adv-clean-fair_adv-delta,-0.046,0.003,0.190,0.155,0.164,-0.069,0.164
adv-clean-fair_resample-all,0.644,0.703,0.461,0.349,0.492,0.773,0.000
adv-clean-fair_resample-group-0,0.636,0.712,0.500,0.348,0.484,0.788,0.794
adv-clean-fair_resample-group-1,0.675,0.698,0.310,0.353,0.544,0.733,0.206
adv-clean-fair_resample-delta,-0.039,0.014,0.190,-0.005,-0.061,0.055,0.061
adv-all-all,0.650,0.716,0.461,0.320,0.467,0.806,0.000
adv-all-group-0,0.635,0.706,0.500,0.365,0.500,0.769,0.794
adv-all-group-1,0.710,0.688,0.310,0.145,0.266,0.909,0.206
adv-all-delta,-0.075,0.019,0.190,0.220,0.234,-0.140,0.234
adv-all-fair_reg-all,0.658,0.708,0.461,0.423,0.589,0.718,0.000
adv-all-fair_reg-group-0,0.659,0.706,0.500,0.449,0.608,0.710,0.794
adv-all-fair_reg-group-1,0.655,0.687,0.310,0.325,0.468,0.739,0.206
adv-all-fair_reg-delta,0.004,0.019,0.190,0.123,0.140,-0.028,0.140
adv-all-fair_pp-all,0.653,0.709,0.461,0.366,0.520,0.766,0.000
adv-all-fair_pp-group-0,0.647,0.706,0.500,0.394,0.541,0.753,0.794
adv-all-fair_pp-group-1,0.675,0.688,0.310,0.259,0.392,0.801,0.206
adv-all-fair_pp-delta,-0.028,0.019,0.190,0.135,0.148,-0.048,0.148
adv-all-fair_adv-all,0.647,0.708,0.461,0.300,0.443,0.821,0.000
adv-all-fair_adv-group-0,0.636,0.707,0.500,0.326,0.461,0.810,0.794
adv-all-fair_adv-group-1,0.690,0.688,0.310,0.204,0.329,0.852,0.206
adv-all-fair_adv-delta,-0.054,0.019,0.190,0.122,0.132,-0.042,0.132
adv-all-fair_resample-all,0.648,0.700,0.461,0.285,0.427,0.836,0.000
adv-all-fair_resample-group-0,0.631,0.694,0.500,0.312,0.443,0.818,0.794
adv-all-fair_resample-group-1,0.714,0.704,0.310,0.180,0.329,0.886,0.206
adv-all-fair_resample-delta,-0.083,-0.010,0.190,0.132,0.114,-0.068,0.114
adv-konstantinov-all,0.650,0.716,0.461,0.320,0.467,0.806,0.400
adv-konstantinov-group-0,0.635,0.706,0.500,0.365,0.500,0.769,0.794
adv-konstantinov-group-1,0.710,0.688,0.310,0.145,0.266,0.909,0.206
adv-konstantinov-delta,-0.075,0.019,0.190,0.220,0.234,-0.140,0.234
adv-konstantinov-fair_reg-all,0.658,0.708,0.461,0.423,0.589,0.718,0.000
adv-konstantinov-fair_reg-group-0,0.659,0.706,0.500,0.449,0.608,0.710,0.794
adv-konstantinov-fair_reg-group-1,0.655,0.687,0.310,0.325,0.468,0.739,0.206
adv-konstantinov-fair_reg-delta,0.004,0.019,0.190,0.123,0.140,-0.028,0.140
adv-konstantinov-fair_pp-all,0.653,0.709,0.461,0.366,0.520,0.766,0.000
adv-konstantinov-fair_pp-group-0,0.647,0.706,0.500,0.394,0.541,0.753,0.794
adv-konstantinov-fair_pp-group-1,0.675,0.688,0.310,0.259,0.392,0.801,0.206
adv-konstantinov-fair_pp-delta,-0.028,0.019,0.190,0.135,0.148,-0.048,0.148
adv-konstantinov-fair_adv-all,0.647,0.708,0.461,0.300,0.443,0.821,0.000
adv-konstantinov-fair_adv-group-0,0.636,0.707,0.500,0.326,0.461,0.810,0.794
adv-konstantinov-fair_adv-group-1,0.690,0.688,0.310,0.204,0.329,0.852,0.206
adv-konstantinov-fair_adv-delta,-0.054,0.019,0.190,0.122,0.132,-0.042,0.132
