method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.795,0.804,0.755,0.800,0.894,0.490,0.000
original-group-0,0.792,0.769,0.808,0.877,0.914,0.280,0.650
original-group-1,0.800,0.841,0.657,0.657,0.848,0.708,0.350
original-delta,-0.008,-0.072,0.151,0.220,0.066,-0.428,0.428
original-fair_reg-all,0.670,0.798,0.755,0.555,0.649,0.735,0.000
original-fair_reg-group-0,0.662,0.761,0.808,0.577,0.648,0.720,0.650
original-fair_reg-group-1,0.686,0.843,0.657,0.514,0.652,0.750,0.350
original-fair_reg-delta,-0.024,-0.082,0.151,0.063,-0.005,-0.030,0.030
original-fair_pp-all,0.790,0.801,0.755,0.815,0.901,0.449,0.000
original-fair_pp-group-0,0.785,0.769,0.808,0.854,0.895,0.320,0.650
original-fair_pp-group-1,0.800,0.841,0.657,0.743,0.913,0.583,0.350
original-fair_pp-delta,-0.015,-0.072,0.151,0.111,-0.018,-0.263,0.263
original-fair_adv-all,0.795,0.802,0.755,0.830,0.914,0.429,0.000
original-fair_adv-group-0,0.777,0.767,0.808,0.862,0.895,0.280,0.650
original-fair_adv-group-1,0.829,0.842,0.657,0.771,0.957,0.583,0.350
original-fair_adv-delta,-0.052,-0.075,0.151,0.090,-0.061,-0.303,0.303
original-fair_resample-all,0.815,0.789,0.755,0.820,0.921,0.490,0.000
original-fair_resample-group-0,0.808,0.753,0.808,0.846,0.905,0.400,0.650
original-fair_resample-group-1,0.829,0.832,0.657,0.771,0.957,0.583,0.350
original-fair_resample-delta,-0.021,-0.078,0.151,0.075,-0.052,-0.183,0.183
adv-clean-all,0.800,0.794,0.755,0.825,0.914,0.449,0.000
adv-clean-group-0,0.800,0.745,0.808,0.885,0.924,0.280,0.650
adv-clean-group-1,0.800,0.850,0.657,0.714,0.891,0.625,0.350
adv-clean-delta,0.000,-0.104,0.151,0.170,0.033,-0.345,0.345
adv-clean-fair_reg-all,0.720,0.788,0.755,0.635,0.735,0.673,0.000
adv-clean-fair_reg-group-0,0.731,0.744,0.808,0.692,0.762,0.600,0.650
adv-clean-fair_reg-group-1,0.700,0.841,0.657,0.529,0.674,0.750,0.350
adv-clean-fair_reg-delta,0.031,-0.098,0.151,0.164,0.088,-0.150,0.150
adv-clean-fair_pp-all,0.800,0.792,0.755,0.835,0.921,0.429,0.000
adv-clean-fair_pp-group-0,0.808,0.745,0.808,0.877,0.924,0.320,0.650
adv-clean-fair_pp-group-1,0.786,0.850,0.657,0.757,0.913,0.542,0.350
adv-clean-fair_pp-delta,0.022,-0.104,0.151,0.120,0.011,-0.222,0.222
adv-clean-fair_adv-all,0.800,0.791,0.755,0.845,0.927,0.408,0.000
adv-clean-fair_adv-group-0,0.808,0.747,0.808,0.877,0.924,0.320,0.650
adv-clean-fair_adv-group-1,0.786,0.849,0.657,0.786,0.935,0.500,0.350
adv-clean-fair_adv-delta,0.022,-0.102,0.151,0.091,-0.011,-0.180,0.180
adv-clean-fair_resample-all,0.790,0.776,0.755,0.795,0.887,0.490,0.000
adv-clean-fair_resample-group-0,0.792,0.705,0.808,0.877,0.914,0.280,0.650
adv-clean-fair_resample-group-1,0.786,0.840,0.657,0.643,0.826,0.708,0.350
adv-clean-fair_resample-delta,0.007,-0.135,0.151,0.234,0.088,-0.428,0.428
adv-all-all,0.705,0.741,0.755,0.670,0.748,0.571,0.000
adv-all-group-0,0.785,0.717,0.808,0.915,0.933,0.160,0.650
adv-all-group-1,0.557,0.824,0.657,0.214,0.326,1.000,0.350
adv-all-delta,0.227,-0.108,0.151,0.701,0.607,-0.840,0.840
adv-all-fair_reg-all,0.695,0.776,0.755,0.610,0.702,0.673,0.000
adv-all-fair_reg-group-0,0.700,0.718,0.808,0.677,0.733,0.560,0.650
