method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.805,0.839,0.243,0.146,0.399,0.935,0.000
original-group-0,0.762,0.820,0.310,0.210,0.456,0.900,0.666
original-group-1,0.890,0.808,0.109,0.017,0.076,0.990,0.334
original-delta,-0.128,0.012,0.201,0.193,0.380,-0.090,0.380
original-fair_reg-all,0.703,0.802,0.243,0.424,0.762,0.684,0.000
original-fair_reg-group-0,0.734,0.819,0.310,0.421,0.751,0.726,0.666
original-fair_reg-group-1,0.641,0.808,0.109,0.430,0.825,0.618,0.334
original-fair_reg-delta,0.093,0.011,0.201,-0.009,-0.074,0.108,0.108
original-fair_pp-all,0.793,0.802,0.243,0.126,0.334,0.940,0.000
original-fair_pp-group-0,0.759,0.820,0.310,0.126,0.316,0.959,0.666
original-fair_pp-group-1,0.860,0.808,0.109,0.126,0.439,0.912,0.334
original-fair_pp-delta,-0.101,0.012,0.201,-0.000,-0.124,0.047,0.124
original-fair_adv-all,0.804,0.833,0.243,0.141,0.388,0.938,0.000
original-fair_adv-group-0,0.763,0.819,0.310,0.187,0.419,0.918,0.666
original-fair_adv-group-1,0.887,0.809,0.109,0.051,0.214,0.969,0.334
original-fair_adv-delta,-0.123,0.010,0.201,0.135,0.205,-0.051,0.205
original-fair_resample-all,0.798,0.816,0.243,0.133,0.358,0.939,0.000
original-fair_resample-group-0,0.762,0.818,0.310,0.151,0.359,0.943,0.666
original-fair_resample-group-1,0.870,0.812,0.109,0.097,0.349,0.933,0.334
original-fair_resample-delta,-0.108,0.006,0.201,0.053,0.010,0.009,0.010
adv-clean-all,0.805,0.839,0.243,0.150,0.408,0.932,0.000
adv-clean-group-0,0.762,0.819,0.310,0.212,0.458,0.898,0.666
adv-clean-group-1,0.891,0.808,0.109,0.028,0.124,0.984,0.334
adv-clean-delta,-0.129,0.011,0.201,0.184,0.334,-0.086,0.334
adv-clean-fair_reg-all,0.706,0.801,0.243,0.419,0.759,0.689,0.000
adv-clean-fair_reg-group-0,0.735,0.818,0.310,0.418,0.748,0.730,0.666
adv-clean-fair_reg-group-1,0.648,0.808,0.109,0.421,0.820,0.627,0.334
adv-clean-fair_reg-delta,0.087,0.010,0.201,-0.003,-0.072,0.103,0.103
adv-clean-fair_pp-all,0.792,0.799,0.243,0.125,0.329,0.940,0.000
adv-clean-fair_pp-group-0,0.758,0.819,0.310,0.125,0.311,0.958,0.666
adv-clean-fair_pp-group-1,0.859,0.808,0.109,0.125,0.428,0.912,0.334
adv-clean-fair_pp-delta,-0.102,0.011,0.201,0.000,-0.117,0.046,0.117
adv-clean-fair_adv-all,0.804,0.833,0.243,0.145,0.395,0.935,0.000
adv-clean-fair_adv-group-0,0.763,0.819,0.310,0.190,0.424,0.915,0.666
adv-clean-fair_adv-group-1,0.887,0.809,0.109,0.054,0.225,0.967,0.334
adv-clean-fair_adv-delta,-0.124,0.010,0.201,0.137,0.199,-0.053,0.199
adv-clean-fair_resample-all,0.797,0.815,0.243,0.138,0.366,0.935,0.000
adv-clean-fair_resample-group-0,0.762,0.816,0.310,0.155,0.366,0.939,0.666
adv-clean-fair_resample-group-1,0.868,0.811,0.109,0.103,0.366,0.930,0.334
adv-clean-fair_resample-delta,-0.107,0.005,0.201,0.053,0.000,0.010,0.010
adv-all-all,0.806,0.835,0.243,0.149,0.406,0.934,0.000
adv-all-group-0,0.764,0.819,0.310,0.199,0.440,0.909,0.666
adv-all-group-1,0.889,0.805,0.109,0.049,0.214,0.971,0.334
adv-all-delta,-0.125,0.014,0.201,0.151,0.226,-0.063,0.226
adv-all-fair_reg-all,0.713,0.811,0.243,0.414,0.760,0.697,0.000
adv-all-fair_reg-group-0,0.731,0.818,0.310,0.428,0.757,0.720,0.666
adv-all-fair_reg-group-1,0.675,0.805,0.109,0.385,0.777,0.663,0.334
adv-all-fair_reg-delta,0.056,0.013,0.201,0.042,-0.021,0.057,0.057
adv-all-fair_pp-all,0.794,0.813,0.243,0.139,0.362,0.933,0.000
adv-all-fair_pp-group-0,0.760,0.819,0.310,0.150,0.355,0.942,0.666
adv-all-fair_pp-group-1,0.862,0.805,0.109,0.117,0.403,0.918,0.334
adv-all-fair_pp-delta,-0.102,0.014,0.201,0.033,-0.047,0.024,0.047
adv-all-fair_adv-all,0.802,0.829,0.243,0.134,0.368,0.941,0.000
adv-all-fair_adv-group-0,0.762,0.819,0.310,0.169,0.389,0.930,0.666
adv-all-fair_adv-group-1,0.881,0.806,0.109,0.065,0.251,0.957,0.334
adv-all-fair_adv-delta,-0.118,0.013,0.201,0.103,0.138,-0.027,0.138
adv-all-fair_resample-all,0.798,0.820,0.243,0.129,0.349,0.941,0.000
adv-all-fair_resample-group-0,0.760,0.819,0.310,0.150,0.354,0.942,0.666
adv-all-fair_resample-group-1,0.873,0.806,0.109,0.087,0.315,0.941,0.334
adv-all-fair_resample-delta,-0.113,0.012,0.201,0.062,0.039,0.002,0.039
adv-konstantinov-all,0.806,0.835,0.243,0.149,0.406,0.934,0.400
adv-konstantinov-group-0,0.764,0.819,0.310,0.199,0.440,0.909,0.666
adv-konstantinov-group-1,0.889,0.805,0.109,0.049,0.214,0.971,0.334
adv-konstantinov-delta,-0.125,0.014,0.201,0.151,0.226,-0.063,0.226
adv-konstantinov-fair_reg-all,0.713,0.811,0.243,0.414,0.760,0.697,0.000
adv-konstantinov-fair_reg-group-0,0.731,0.818,0.310,0.428,0.757,0.720,0.666
adv-konstantinov-fair_reg-group-1,0.675,0.805,0.109,0.385,0.777,0.663,0.334
adv-konstantinov-fair_reg-delta,0.056,0.013,0.201,0.042,-0.021,0.057,0.057
adv-konstantinov-fair_pp-all,0.794,0.813,0.243,0.139,0.362,0.933,0.000
adv-konstantinov-fair_pp-group-0,0.760,0.819,0.310,0.150,0.355,0.942,0.666
adv-konstantinov-fair_pp-group-1,0.862,0.805,0.109,0.117,0.403,0.918,0.334
adv-konstantinov-fair_pp-delta,-0.102,0.014,0.201,0.033,-0.047,0.024,0.047
adv-konstantinov-fair_adv-all,0.802,0.829,0.243,0.134,0.368,0.941,0.000
adv-konstantinov-fair_adv-group-0,0.762,0.819,0.310,0.169,0.389,0.930,0.666
adv-konstantinov-fair_adv-group-1,0.881,0.806,0.109,0.065,0.251,0.957,0.334
adv-konstantinov-fair_adv-delta,-0.118,0.013,0.201,0.103,0.138,-0.027,0.138
adv-konstantinov-fair_resample-all,0.797,0.819,0.243,0.132,0.353,0.939,0.000
adv-konstantinov-fair_resample-group-0,0.760,0.818,0.310,0.151,0.357,0.941,0.666
adv-konstantinov-fair_resample-group-1,0.870,0.804,0.109,0.094,0.332,0.935,0.334
adv-konstantinov-fair_resample-delta,-0.109,0.014,0.201,0.057,0.024,0.006,0.024
adv-selected-all,0.805,0.839,0.243,0.150,0.408,0.932,0.000
adv-selected-group-0,0.762,0.819,0.310,0.212,0.458,0.898,0.666
adv-selected-group-1,0.891,0.808,0.109,0.028,0.124,0.984,0.334
adv-selected-delta,-0.129,0.012,0.201,0.184,0.334,-0.086,0.334
adv-selected-fair_reg-all,0.706,0.801,0.243,0.419,0.759,0.689,0.000
adv-selected-fair_reg-group-0,0.735,0.818,0.310,0.418,0.748,0.730,0.666
adv-selected-fair_reg-group-1,0.648,0.808,0.109,0.421,0.820,0.627,0.334
adv-selected-fair_reg-delta,0.087,0.010,0.201,-0.003,-0.072,0.103,0.103
adv-selected-fair_pp-all,0.791,0.799,0.243,0.125,0.329,0.940,0.000
adv-selected-fair_pp-group-0,0.758,0.819,0.310,0.125,0.311,0.958,0.666
adv-selected-fair_pp-group-1,0.858,0.808,0.109,0.126,0.428,0.911,0.334
adv-selected-fair_pp-delta,-0.101,0.012,0.201,-0.001,-0.117,0.047,0.117
adv-selected-fair_adv-all,0.804,0.833,0.243,0.145,0.395,0.935,0.333
adv-selected-fair_adv-group-0,0.763,0.819,0.310,0.190,0.424,0.915,0.666
adv-selected-fair_adv-group-1,0.887,0.809,0.109,0.054,0.225,0.967,0.334
adv-selected-fair_adv-delta,-0.124,0.010,0.201,0.137,0.199,-0.053,0.199
adv-selected-fair_resample-all,0.795,0.814,0.243,0.132,0.351,0.938,0.000
adv-selected-fair_resample-group-0,0.760,0.817,0.310,0.148,0.351,0.944,0.666
adv-selected-fair_resample-group-1,0.866,0.809,0.109,0.102,0.355,0.929,0.334
adv-selected-fair_resample-delta,-0.106,0.007,0.201,0.045,-0.004,0.015,0.015
adv-voting-all,0.805,0.838,0.243,0.144,0.396,0.936,0.236
adv-voting-group-0,0.763,0.819,0.310,0.199,0.439,0.908,0.666
adv-voting-group-1,0.890,0.806,0.109,0.034,0.149,0.980,0.334
adv-voting-delta,-0.127,0.014,0.201,0.165,0.290,-0.072,0.290
adv-voting-fair_reg-all,0.709,0.809,0.243,0.415,0.757,0.694,0.205
adv-voting-fair_reg-group-0,0.732,0.818,0.310,0.424,0.753,0.723,0.666
adv-voting-fair_reg-group-1,0.664,0.806,0.109,0.398,0.783,0.649,0.334
adv-voting-fair_reg-delta,0.069,0.013,0.201,0.026,-0.030,0.074,0.074
adv-voting-fair_pp-all,0.796,0.813,0.243,0.121,0.329,0.945,0.318
adv-voting-fair_pp-group-0,0.759,0.818,0.310,0.134,0.328,0.952,0.666
adv-voting-fair_pp-group-1,0.869,0.805,0.109,0.096,0.338,0.934,0.334
adv-voting-fair_pp-delta,-0.110,0.013,0.201,0.039,-0.010,0.018,0.018
adv-voting-fair_adv-all,0.803,0.831,0.243,0.145,0.394,0.934,0.353
adv-voting-fair_adv-group-0,0.763,0.819,0.310,0.188,0.421,0.916,0.666
adv-voting-fair_adv-group-1,0.883,0.808,0.109,0.060,0.239,0.962,0.334
adv-voting-fair_adv-delta,-0.120,0.012,0.201,0.128,0.181,-0.045,0.181
adv-voting-fair_resample-all,0.796,0.818,0.243,0.128,0.344,0.941,0.375
adv-voting-fair_resample-group-0,0.760,0.817,0.310,0.145,0.346,0.946,0.666
adv-voting-fair_resample-group-1,0.868,0.806,0.109,0.095,0.330,0.934,0.334
adv-voting-fair_resample-delta,-0.108,0.011,0.201,0.050,0.017,0.012,0.017
