method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.690,0.744,0.424,0.385,0.588,0.765,0.000
original-group-0,0.615,0.688,0.523,0.552,0.659,0.566,0.462
original-group-1,0.754,0.745,0.340,0.241,0.493,0.888,0.538
original-delta,-0.139,-0.058,0.183,0.310,0.167,-0.322,0.322
original-fair_reg-all,0.642,0.713,0.424,0.469,0.631,0.650,0.000
original-fair_reg-group-0,0.632,0.686,0.523,0.511,0.637,0.627,0.462
original-fair_reg-group-1,0.650,0.746,0.340,0.433,0.623,0.664,0.538
original-fair_reg-delta,-0.018,-0.060,0.183,0.078,0.014,-0.038,0.038
original-fair_pp-all,0.631,0.704,0.424,0.554,0.719,0.567,0.000
original-fair_pp-group-0,0.621,0.688,0.523,0.546,0.659,0.578,0.462
original-fair_pp-group-1,0.640,0.745,0.340,0.562,0.797,0.560,0.538
original-fair_pp-delta,-0.020,-0.058,0.183,-0.016,-0.138,0.019,0.138
original-fair_adv-all,0.663,0.725,0.424,0.411,0.588,0.719,0.000
original-fair_adv-group-0,0.632,0.687,0.523,0.489,0.615,0.651,0.462
original-fair_adv-group-1,0.690,0.745,0.340,0.345,0.551,0.761,0.538
original-fair_adv-delta,-0.057,-0.058,0.183,0.144,0.065,-0.111,0.111
original-fair_resample-all,0.658,0.715,0.424,0.395,0.562,0.728,0.000
original-fair_resample-group-0,0.615,0.680,0.523,0.414,0.527,0.711,0.462
original-fair_resample-group-1,0.695,0.747,0.340,0.379,0.609,0.739,0.538
original-fair_resample-delta,-0.080,-0.068,0.183,0.034,-0.081,-0.028,0.081
adv-clean-all,0.687,0.744,0.424,0.398,0.600,0.751,0.000
adv-clean-group-0,0.615,0.690,0.523,0.575,0.681,0.542,0.462
adv-clean-group-1,0.749,0.741,0.340,0.246,0.493,0.881,0.538
adv-clean-delta,-0.134,-0.051,0.183,0.328,0.189,-0.338,0.338
adv-clean-fair_reg-all,0.653,0.710,0.424,0.464,0.637,0.664,0.000
adv-clean-fair_reg-group-0,0.626,0.688,0.523,0.506,0.626,0.627,0.462
adv-clean-fair_reg-group-1,0.675,0.742,0.340,0.429,0.652,0.687,0.538
adv-clean-fair_reg-delta,-0.048,-0.054,0.183,0.077,-0.026,-0.060,0.060
adv-clean-fair_pp-all,0.626,0.701,0.424,0.528,0.681,0.585,0.000
adv-clean-fair_pp-group-0,0.621,0.690,0.523,0.523,0.637,0.602,0.462
adv-clean-fair_pp-group-1,0.631,0.741,0.340,0.532,0.739,0.575,0.538
adv-clean-fair_pp-delta,-0.010,-0.051,0.183,-0.009,-0.102,0.028,0.102
adv-clean-fair_adv-all,0.668,0.723,0.424,0.406,0.588,0.728,0.000
adv-clean-fair_adv-group-0,0.632,0.688,0.523,0.489,0.615,0.651,0.462
adv-clean-fair_adv-group-1,0.700,0.741,0.340,0.335,0.551,0.776,0.538
adv-clean-fair_adv-delta,-0.067,-0.052,0.183,0.154,0.065,-0.126,0.126
adv-clean-fair_resample-all,0.655,0.707,0.424,0.414,0.581,0.710,0.000
adv-clean-fair_resample-group-0,0.638,0.710,0.523,0.460,0.593,0.687,0.462
adv-clean-fair_resample-group-1,0.670,0.700,0.340,0.374,0.565,0.724,0.538
adv-clean-fair_resample-delta,-0.032,0.010,0.183,0.085,0.028,-0.037,0.037
adv-all-all,0.613,0.629,0.424,0.408,0.525,0.677,0.000
adv-all-group-0,0.580,0.667,0.523,0.241,0.330,0.855,0.462
adv-all-group-1,0.640,0.749,0.340,0.552,0.783,0.567,0.538
adv-all-delta,-0.060,-0.082,0.183,-0.310,-0.453,0.288,0.453
adv-all-fair_reg-all,0.658,0.733,0.424,0.459,0.637,0.673,0.000
adv-all-fair_reg-group-0,0.626,0.664,0.523,0.598,0.714,0.530,0.462
adv-all-fair_reg-group-1,0.685,0.749,0.340,0.340,0.536,0.761,0.538
adv-all-fair_reg-delta,-0.058,-0.085,0.183,0.258,0.178,-0.231,0.231
adv-all-fair_pp-all,0.666,0.733,0.424,0.435,0.619,0.700,0.000
adv-all-fair_pp-group-0,0.638,0.667,0.523,0.563,0.692,0.578,0.462
adv-all-fair_pp-group-1,0.690,0.749,0.340,0.325,0.522,0.776,0.538
adv-all-fair_pp-delta,-0.052,-0.082,0.183,0.238,0.171,-0.198,0.198
adv-all-fair_adv-all,0.647,0.712,0.424,0.416,0.575,0.700,0.000
adv-all-fair_adv-group-0,0.603,0.669,0.523,0.460,0.560,0.651,0.462
adv-all-fair_adv-group-1,0.685,0.749,0.340,0.379,0.594,0.731,0.538
adv-all-fair_adv-delta,-0.081,-0.080,0.183,0.080,-0.034,-0.081,0.081
adv-all-fair_resample-all,0.650,0.722,0.424,0.419,0.581,0.700,0.000
adv-all-fair_resample-group-0,0.598,0.651,0.523,0.511,0.604,0.590,0.462
adv-all-fair_resample-group-1,0.695,0.763,0.340,0.340,0.551,0.769,0.538
adv-all-fair_resample-delta,-0.097,-0.112,0.183,0.172,0.054,-0.178,0.178
adv-konstantinov-all,0.613,0.629,0.424,0.408,0.525,0.677,0.400
adv-konstantinov-group-0,0.580,0.667,0.523,0.241,0.330,0.855,0.462
adv-konstantinov-group-1,0.640,0.749,0.340,0.552,0.783,0.567,0.538
adv-konstantinov-delta,-0.060,-0.082,0.183,-0.310,-0.453,0.288,0.453
adv-konstantinov-fair_reg-all,0.658,0.733,0.424,0.459,0.637,0.673,0.000
adv-konstantinov-fair_reg-group-0,0.626,0.664,0.523,0.598,0.714,0.530,0.462
adv-konstantinov-fair_reg-group-1,0.685,0.749,0.340,0.340,0.536,0.761,0.538
adv-konstantinov-fair_reg-delta,-0.058,-0.085,0.183,0.258,0.178,-0.231,0.231
adv-konstantinov-fair_pp-all,0.666,0.733,0.424,0.435,0.619,0.700,0.000
adv-konstantinov-fair_pp-group-0,0.638,0.667,0.523,0.563,0.692,0.578,0.462
adv-konstantinov-fair_pp-group-1,0.690,0.749,0.340,0.325,0.522,0.776,0.538
adv-konstantinov-fair_pp-delta,-0.052,-0.082,0.183,0.238,0.171,-0.198,0.198
adv-konstantinov-fair_adv-all,0.647,0.712,0.424,0.416,0.575,0.700,0.000
adv-konstantinov-fair_adv-group-0,0.603,0.669,0.523,0.460,0.560,0.651,0.462
adv-konstantinov-fair_adv-group-1,0.685,0.749,0.340,0.379,0.594,0.731,0.538
adv-konstantinov-fair_adv-delta,-0.081,-0.080,0.183,0.080,-0.034,-0.081,0.081
adv-konstantinov-fair_resample-all,0.660,0.715,0.424,0.398,0.569,0.728,0.000
adv-konstantinov-fair_resample-group-0,0.609,0.648,0.523,0.466,0.571,0.651,0.462
adv-konstantinov-fair_resample-group-1,0.704,0.748,0.340,0.340,0.565,0.776,0.538
adv-konstantinov-fair_resample-delta,-0.095,-0.100,0.183,0.126,0.006,-0.126,0.126
adv-selected-all,0.687,0.744,0.424,0.398,0.600,0.751,0.000
adv-selected-group-0,0.615,0.690,0.523,0.575,0.681,0.542,0.462
adv-selected-group-1,0.749,0.741,0.340,0.246,0.493,0.881,0.538
adv-selected-delta,-0.134,-0.051,0.183,0.328,0.189,-0.338,0.338
adv-selected-fair_reg-all,0.653,0.710,0.424,0.464,0.637,0.664,0.000
adv-selected-fair_reg-group-0,0.626,0.688,0.523,0.506,0.626,0.627,0.462
adv-selected-fair_reg-group-1,0.675,0.742,0.340,0.429,0.652,0.687,0.538
adv-selected-fair_reg-delta,-0.048,-0.054,0.183,0.077,-0.026,-0.060,0.060
adv-selected-fair_pp-all,0.626,0.701,0.424,0.528,0.681,0.585,0.000
adv-selected-fair_pp-group-0,0.621,0.690,0.523,0.523,0.637,0.602,0.462
adv-selected-fair_pp-group-1,0.631,0.741,0.340,0.532,0.739,0.575,0.538
adv-selected-fair_pp-delta,-0.010,-0.051,0.183,-0.009,-0.102,0.028,0.102
adv-selected-fair_adv-all,0.668,0.723,0.424,0.406,0.588,0.728,0.333
adv-selected-fair_adv-group-0,0.632,0.688,0.523,0.489,0.615,0.651,0.462
adv-selected-fair_adv-group-1,0.700,0.741,0.340,0.335,0.551,0.776,0.538
adv-selected-fair_adv-delta,-0.067,-0.052,0.183,0.154,0.065,-0.126,0.126
adv-selected-fair_resample-all,0.660,0.706,0.424,0.393,0.562,0.733,0.000
adv-selected-fair_resample-group-0,0.621,0.693,0.523,0.454,0.571,0.675,0.462
adv-selected-fair_resample-group-1,0.695,0.712,0.340,0.340,0.551,0.769,0.538
adv-selected-fair_resample-delta,-0.074,-0.019,0.183,0.114,0.021,-0.094,0.094
adv-voting-all,0.655,0.705,0.424,0.387,0.550,0.733,0.000
adv-voting-group-0,0.615,0.694,0.523,0.448,0.560,0.675,0.462
adv-voting-group-1,0.690,0.709,0.340,0.335,0.536,0.769,0.538
adv-voting-delta,-0.075,-0.015,0.183,0.113,0.024,-0.094,0.094
adv-voting-fair_reg-all,0.594,0.639,0.424,0.485,0.594,0.594,0.000
adv-voting-fair_reg-group-0,0.615,0.691,0.523,0.356,0.473,0.771,0.462
adv-voting-fair_reg-group-1,0.576,0.711,0.340,0.596,0.754,0.485,0.538
adv-voting-fair_reg-delta,0.039,-0.020,0.183,-0.240,-0.281,0.286,0.286
adv-voting-fair_pp-all,0.655,0.712,0.424,0.318,0.469,0.793,0.011
adv-voting-fair_pp-group-0,0.598,0.687,0.523,0.316,0.418,0.795,0.462
adv-voting-fair_pp-group-1,0.704,0.757,0.340,0.320,0.536,0.791,0.538
adv-voting-fair_pp-delta,-0.107,-0.069,0.183,-0.004,-0.119,0.004,0.119
adv-voting-fair_adv-all,0.618,0.658,0.424,0.424,0.550,0.668,0.000
adv-voting-fair_adv-group-0,0.609,0.687,0.523,0.351,0.462,0.771,0.462
adv-voting-fair_adv-group-1,0.626,0.711,0.340,0.488,0.667,0.604,0.538
adv-voting-fair_adv-delta,-0.016,-0.025,0.183,-0.137,-0.205,0.167,0.205
adv-voting-fair_resample-all,0.581,0.609,0.424,0.414,0.494,0.645,0.000
adv-voting-fair_resample-group-0,0.563,0.701,0.523,0.201,0.275,0.880,0.462
adv-voting-fair_resample-group-1,0.596,0.705,0.340,0.596,0.783,0.500,0.538
adv-voting-fair_resample-delta,-0.033,-0.003,0.183,-0.395,-0.508,0.380,0.508
adv-TERM-all,0.639,0.610,0.424,0.239,0.356,0.848,0.000
adv-TERM-group-0,0.563,0.593,0.523,0.132,0.209,0.952,0.462
adv-TERM-group-1,0.704,0.671,0.340,0.330,0.551,0.784,0.538
adv-TERM-delta,-0.141,-0.078,0.183,-0.198,-0.342,0.168,0.342
adv-TERM-fair_pp-all,0.650,0.617,0.424,0.239,0.369,0.857,0.000
adv-TERM-fair_pp-group-0,0.575,0.598,0.523,0.144,0.231,0.952,0.462
adv-TERM-fair_pp-group-1,0.714,0.677,0.340,0.320,0.551,0.799,0.538
adv-TERM-fair_pp-delta,-0.140,-0.080,0.183,-0.177,-0.320,0.153,0.320
adv-TERM-fair_resample-all,0.637,0.599,0.424,0.252,0.369,0.834,0.000
adv-TERM-fair_resample-group-0,0.580,0.596,0.523,0.161,0.253,0.940,0.462
adv-TERM-fair_resample-group-1,0.685,0.642,0.340,0.330,0.522,0.769,0.538
adv-TERM-fair_resample-delta,-0.104,-0.046,0.183,-0.169,-0.269,0.171,0.269
adv-DRO-fair_reg-all,0.637,0.735,0.424,0.162,0.263,0.912,0.000
adv-DRO-fair_reg-group-0,0.534,0.656,0.523,0.230,0.275,0.819,0.462
adv-DRO-fair_reg-group-1,0.724,0.754,0.340,0.103,0.246,0.970,0.538
adv-DRO-fair_reg-delta,-0.190,-0.098,0.183,0.126,0.028,-0.151,0.151
