method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.789,0.860,0.349,0.309,0.640,0.869,0.000
original-group-0,0.766,0.850,0.424,0.411,0.708,0.808,0.519
original-group-1,0.814,0.856,0.267,0.199,0.523,0.920,0.481
original-delta,-0.048,-0.006,0.157,0.212,0.185,-0.111,0.185
original-fair_reg-all,0.750,0.843,0.349,0.444,0.778,0.735,0.000
original-fair_reg-group-0,0.764,0.850,0.424,0.441,0.742,0.781,0.519
original-fair_reg-group-1,0.734,0.856,0.267,0.447,0.840,0.696,0.481
original-fair_reg-delta,0.030,-0.006,0.157,-0.006,-0.098,0.085,0.098
original-fair_pp-all,0.774,0.844,0.349,0.308,0.617,0.858,0.000
original-fair_pp-group-0,0.752,0.850,0.424,0.306,0.569,0.888,0.519
original-fair_pp-group-1,0.797,0.856,0.267,0.310,0.700,0.833,0.481
original-fair_pp-delta,-0.045,-0.006,0.157,-0.004,-0.132,0.055,0.132
original-fair_adv-all,0.787,0.857,0.349,0.305,0.632,0.870,0.000
original-fair_adv-group-0,0.764,0.851,0.424,0.370,0.658,0.843,0.519
original-fair_adv-group-1,0.811,0.855,0.267,0.236,0.588,0.893,0.481
original-fair_adv-delta,-0.047,-0.005,0.157,0.134,0.070,-0.050,0.070
original-fair_resample-all,0.782,0.852,0.349,0.302,0.620,0.868,0.000
original-fair_resample-group-0,0.757,0.849,0.424,0.338,0.612,0.865,0.519
original-fair_resample-group-1,0.808,0.857,0.267,0.263,0.634,0.872,0.481
original-fair_resample-delta,-0.051,-0.007,0.157,0.074,-0.022,-0.007,0.022
adv-clean-all,0.789,0.859,0.349,0.317,0.652,0.862,0.000
adv-clean-group-0,0.765,0.849,0.424,0.420,0.718,0.800,0.519
adv-clean-group-1,0.815,0.856,0.267,0.206,0.538,0.915,0.481
adv-clean-delta,-0.049,-0.007,0.157,0.214,0.180,-0.115,0.180
adv-clean-fair_reg-all,0.749,0.843,0.349,0.444,0.777,0.735,0.000
adv-clean-fair_reg-group-0,0.763,0.849,0.424,0.440,0.739,0.781,0.519
adv-clean-fair_reg-group-1,0.735,0.856,0.267,0.448,0.841,0.696,0.481
adv-clean-fair_reg-delta,0.029,-0.007,0.157,-0.008,-0.102,0.085,0.102
adv-clean-fair_pp-all,0.773,0.843,0.349,0.304,0.612,0.860,0.000
adv-clean-fair_pp-group-0,0.751,0.849,0.424,0.303,0.563,0.889,0.519
adv-clean-fair_pp-group-1,0.798,0.856,0.267,0.306,0.695,0.836,0.481
adv-clean-fair_pp-delta,-0.047,-0.007,0.157,-0.004,-0.132,0.054,0.132
adv-clean-fair_adv-all,0.786,0.856,0.349,0.315,0.645,0.862,0.000
adv-clean-fair_adv-group-0,0.764,0.850,0.424,0.380,0.670,0.834,0.519
adv-clean-fair_adv-group-1,0.810,0.856,0.267,0.245,0.603,0.886,0.481
adv-clean-fair_adv-delta,-0.046,-0.006,0.157,0.135,0.067,-0.052,0.067
adv-clean-fair_resample-all,0.781,0.852,0.349,0.314,0.636,0.859,0.000
adv-clean-fair_resample-group-0,0.759,0.849,0.424,0.349,0.627,0.856,0.519
adv-clean-fair_resample-group-1,0.805,0.856,0.267,0.275,0.651,0.862,0.481
adv-clean-fair_resample-delta,-0.046,-0.007,0.157,0.074,-0.023,-0.006,0.023
adv-all-all,0.728,0.789,0.349,0.315,0.563,0.817,0.000
adv-all-group-0,0.717,0.842,0.424,0.213,0.417,0.938,0.519
adv-all-group-1,0.741,0.848,0.267,0.426,0.813,0.715,0.481
adv-all-delta,-0.024,-0.006,0.157,-0.214,-0.396,0.223,0.396
adv-all-fair_reg-all,0.762,0.852,0.349,0.441,0.790,0.746,0.000
adv-all-fair_reg-group-0,0.734,0.841,0.424,0.571,0.859,0.642,0.519
adv-all-fair_reg-group-1,0.792,0.848,0.267,0.301,0.673,0.835,0.481
adv-all-fair_reg-delta,-0.058,-0.008,0.157,0.270,0.186,-0.193,0.193
adv-all-fair_pp-all,0.781,0.851,0.349,0.305,0.623,0.865,0.000
adv-all-fair_pp-group-0,0.758,0.842,0.424,0.437,0.729,0.779,0.519
adv-all-fair_pp-group-1,0.805,0.848,0.267,0.163,0.440,0.938,0.481
adv-all-fair_pp-delta,-0.047,-0.006,0.157,0.274,0.290,-0.159,0.290
adv-all-fair_adv-all,0.764,0.832,0.349,0.316,0.615,0.844,0.000
adv-all-fair_adv-group-0,0.746,0.841,0.424,0.305,0.561,0.883,0.519
adv-all-fair_adv-group-1,0.784,0.848,0.267,0.327,0.709,0.812,0.481
