method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.700,0.705,0.680,0.770,0.846,0.391,0.000
original-group-0,0.681,0.681,0.681,0.801,0.854,0.311,0.705
original-group-1,0.746,0.783,0.678,0.695,0.825,0.579,0.295
original-delta,-0.065,-0.102,0.003,0.107,0.029,-0.268,0.268
original-fair_reg-all,0.645,0.709,0.680,0.495,0.603,0.734,0.000
original-fair_reg-group-0,0.631,0.682,0.681,0.511,0.604,0.689,0.705
original-fair_reg-group-1,0.678,0.776,0.678,0.458,0.600,0.842,0.295
original-fair_reg-delta,-0.047,-0.094,0.003,0.053,0.004,-0.153,0.153
original-fair_pp-all,0.695,0.708,0.680,0.725,0.809,0.453,0.000
original-fair_pp-group-0,0.681,0.681,0.681,0.702,0.781,0.467,0.705
original-fair_pp-group-1,0.729,0.783,0.678,0.780,0.875,0.421,0.295
original-fair_pp-delta,-0.048,-0.102,0.003,-0.078,-0.094,0.046,0.094
original-fair_adv-all,0.690,0.710,0.680,0.750,0.824,0.406,0.000
original-fair_adv-group-0,0.674,0.680,0.681,0.738,0.802,0.400,0.705
original-fair_adv-group-1,0.729,0.786,0.678,0.780,0.875,0.421,0.295
original-fair_adv-delta,-0.055,-0.105,0.003,-0.042,-0.073,-0.021,0.073
original-fair_resample-all,0.650,0.704,0.680,0.740,0.787,0.359,0.000
original-fair_resample-group-0,0.631,0.686,0.681,0.738,0.771,0.333,0.705
original-fair_resample-group-1,0.695,0.742,0.678,0.746,0.825,0.421,0.295
original-fair_resample-delta,-0.064,-0.056,0.003,-0.008,-0.054,-0.088,0.088
adv-clean-all,0.715,0.710,0.680,0.785,0.868,0.391,0.000
adv-clean-group-0,0.709,0.685,0.681,0.844,0.906,0.289,0.705
adv-clean-group-1,0.729,0.809,0.678,0.644,0.775,0.632,0.295
adv-clean-delta,-0.020,-0.124,0.003,0.200,0.131,-0.343,0.343
adv-clean-fair_reg-all,0.665,0.720,0.680,0.515,0.632,0.734,0.000
adv-clean-fair_reg-group-0,0.652,0.689,0.681,0.532,0.635,0.689,0.705
adv-clean-fair_reg-group-1,0.695,0.813,0.678,0.475,0.625,0.842,0.295
adv-clean-fair_reg-delta,-0.042,-0.124,0.003,0.057,0.010,-0.153,0.153
adv-clean-fair_pp-all,0.715,0.718,0.680,0.775,0.860,0.406,0.000
adv-clean-fair_pp-group-0,0.695,0.685,0.681,0.773,0.844,0.378,0.705
adv-clean-fair_pp-group-1,0.763,0.809,0.678,0.780,0.900,0.474,0.295
adv-clean-fair_pp-delta,-0.068,-0.124,0.003,-0.007,-0.056,-0.096,0.096
adv-clean-fair_adv-all,0.700,0.717,0.680,0.780,0.853,0.375,0.000
adv-clean-fair_adv-group-0,0.681,0.686,0.681,0.787,0.844,0.333,0.705
adv-clean-fair_adv-group-1,0.746,0.808,0.678,0.763,0.875,0.474,0.295
adv-clean-fair_adv-delta,-0.065,-0.122,0.003,0.025,-0.031,-0.140,0.140
adv-clean-fair_resample-all,0.675,0.697,0.680,0.775,0.831,0.344,0.000
adv-clean-fair_resample-group-0,0.660,0.661,0.681,0.766,0.812,0.333,0.705
adv-clean-fair_resample-group-1,0.712,0.778,0.678,0.797,0.875,0.368,0.295
adv-clean-fair_resample-delta,-0.052,-0.116,0.003,-0.031,-0.062,-0.035,0.062
adv-all-all,0.670,0.651,0.680,0.750,0.809,0.375,0.000
adv-all-group-0,0.667,0.606,0.681,0.830,0.865,0.244,0.705
adv-all-group-1,0.678,0.822,0.678,0.559,0.675,0.684,0.295
adv-all-delta,-0.011,-0.216,0.003,0.270,0.190,-0.440,0.440
adv-all-fair_reg-all,0.580,0.664,0.680,0.480,0.544,0.656,0.000
adv-all-fair_reg-group-0,0.546,0.605,0.681,0.468,0.510,0.622,0.705
adv-all-fair_reg-group-1,0.661,0.829,0.678,0.508,0.625,0.737,0.295
adv-all-fair_reg-delta,-0.115,-0.224,0.003,-0.040,-0.115,-0.115,0.115
adv-all-fair_pp-all,0.715,0.663,0.680,0.795,0.875,0.375,0.000
adv-all-fair_pp-group-0,0.674,0.606,0.681,0.780,0.833,0.333,0.705
adv-all-fair_pp-group-1,0.814,0.822,0.678,0.831,0.975,0.474,0.295
adv-all-fair_pp-delta,-0.140,-0.216,0.003,-0.050,-0.142,-0.140,0.142
adv-all-fair_adv-all,0.695,0.661,0.680,0.745,0.824,0.422,0.000
adv-all-fair_adv-group-0,0.652,0.606,0.681,0.730,0.781,0.378,0.705
adv-all-fair_adv-group-1,0.797,0.824,0.678,0.780,0.925,0.526,0.295
adv-all-fair_adv-delta,-0.144,-0.218,0.003,-0.049,-0.144,-0.149,0.149
adv-all-fair_resample-all,0.615,0.632,0.680,0.695,0.728,0.375,0.000
adv-all-fair_resample-group-0,0.603,0.616,0.681,0.667,0.698,0.400,0.705
adv-all-fair_resample-group-1,0.644,0.655,0.678,0.763,0.800,0.316,0.295
adv-all-fair_resample-delta,-0.041,-0.039,0.003,-0.096,-0.102,0.084,0.102
adv-konstantinov-all,0.670,0.651,0.680,0.750,0.809,0.375,0.400
adv-konstantinov-group-0,0.667,0.606,0.681,0.830,0.865,0.244,0.705
adv-konstantinov-group-1,0.678,0.822,0.678,0.559,0.675,0.684,0.295
adv-konstantinov-delta,-0.011,-0.216,0.003,0.270,0.190,-0.440,0.440
adv-konstantinov-fair_reg-all,0.580,0.664,0.680,0.480,0.544,0.656,0.000
adv-konstantinov-fair_reg-group-0,0.546,0.605,0.681,0.468,0.510,0.622,0.705
adv-konstantinov-fair_reg-group-1,0.661,0.829,0.678,0.508,0.625,0.737,0.295
adv-konstantinov-fair_reg-delta,-0.115,-0.224,0.003,-0.040,-0.115,-0.115,0.115
adv-konstantinov-fair_pp-all,0.715,0.663,0.680,0.795,0.875,0.375,0.000
adv-konstantinov-fair_pp-group-0,0.674,0.606,0.681,0.780,0.833,0.333,0.705
adv-konstantinov-fair_pp-group-1,0.814,0.822,0.678,0.831,0.975,0.474,0.295
adv-konstantinov-fair_pp-delta,-0.140,-0.216,0.003,-0.050,-0.142,-0.140,0.142
adv-konstantinov-fair_adv-all,0.695,0.661,0.680,0.745,0.824,0.422,0.000
adv-konstantinov-fair_adv-group-0,0.652,0.606,0.681,0.730,0.781,0.378,0.705
adv-konstantinov-fair_adv-group-1,0.797,0.824,0.678,0.780,0.925,0.526,0.295
adv-konstantinov-fair_adv-delta,-0.144,-0.218,0.003,-0.049,-0.144,-0.149,0.149
adv-konstantinov-fair_resample-all,0.590,0.623,0.680,0.570,0.618,0.531,0.000
adv-konstantinov-fair_resample-group-0,0.567,0.564,0.681,0.603,0.625,0.444,0.705
adv-konstantinov-fair_resample-group-1,0.644,0.762,0.678,0.492,0.600,0.737,0.295
adv-konstantinov-fair_resample-delta,-0.077,-0.198,0.003,0.111,0.025,-0.292,0.292
adv-selected-all,0.715,0.710,0.680,0.785,0.868,0.391,0.000
adv-selected-group-0,0.709,0.685,0.681,0.844,0.906,0.289,0.705
adv-selected-group-1,0.729,0.809,0.678,0.644,0.775,0.632,0.295
adv-selected-delta,-0.020,-0.124,0.003,0.200,0.131,-0.343,0.343
