method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.792,0.863,0.351,0.310,0.645,0.871,0.000
original-group-0,0.768,0.852,0.426,0.408,0.706,0.813,0.517
original-group-1,0.817,0.860,0.270,0.205,0.540,0.919,0.483
original-delta,-0.049,-0.009,0.156,0.203,0.166,-0.106,0.166
original-fair_reg-all,0.756,0.846,0.351,0.441,0.781,0.743,0.000
original-fair_reg-group-0,0.769,0.852,0.426,0.442,0.747,0.785,0.517
original-fair_reg-group-1,0.743,0.861,0.270,0.441,0.839,0.707,0.483
original-fair_reg-delta,0.026,-0.009,0.156,0.001,-0.092,0.079,0.092
original-fair_pp-all,0.776,0.847,0.351,0.289,0.593,0.875,0.000
original-fair_pp-group-0,0.747,0.852,0.426,0.287,0.539,0.901,0.517
original-fair_pp-group-1,0.807,0.860,0.270,0.292,0.683,0.853,0.483
original-fair_pp-delta,-0.060,-0.009,0.156,-0.005,-0.144,0.048,0.144
original-fair_adv-all,0.790,0.860,0.351,0.307,0.638,0.872,0.000
original-fair_adv-group-0,0.765,0.852,0.426,0.369,0.657,0.845,0.517
original-fair_adv-group-1,0.816,0.860,0.270,0.241,0.606,0.894,0.483
original-fair_adv-delta,-0.051,-0.008,0.156,0.128,0.051,-0.049,0.051
original-fair_resample-all,0.784,0.855,0.351,0.302,0.624,0.871,0.000
original-fair_resample-group-0,0.758,0.851,0.426,0.336,0.610,0.868,0.517
original-fair_resample-group-1,0.813,0.861,0.270,0.266,0.646,0.875,0.483
original-fair_resample-delta,-0.055,-0.010,0.156,0.070,-0.036,-0.007,0.036
adv-clean-all,0.791,0.862,0.351,0.299,0.628,0.879,0.000
adv-clean-group-0,0.767,0.852,0.426,0.396,0.692,0.823,0.517
adv-clean-group-1,0.816,0.859,0.270,0.195,0.520,0.926,0.483
adv-clean-delta,-0.049,-0.008,0.156,0.202,0.172,-0.102,0.172
adv-clean-fair_reg-all,0.758,0.846,0.351,0.436,0.777,0.748,0.000
adv-clean-fair_reg-group-0,0.769,0.852,0.426,0.439,0.744,0.788,0.517
adv-clean-fair_reg-group-1,0.747,0.860,0.270,0.433,0.833,0.715,0.483
adv-clean-fair_reg-delta,0.022,-0.008,0.156,0.006,-0.089,0.072,0.089
adv-clean-fair_pp-all,0.776,0.846,0.351,0.291,0.595,0.874,0.000
adv-clean-fair_pp-group-0,0.748,0.852,0.426,0.290,0.544,0.899,0.517
adv-clean-fair_pp-group-1,0.806,0.859,0.270,0.292,0.682,0.852,0.483
adv-clean-fair_pp-delta,-0.058,-0.008,0.156,-0.003,-0.138,0.047,0.138
adv-clean-fair_adv-all,0.789,0.859,0.351,0.296,0.621,0.879,0.000
adv-clean-fair_adv-group-0,0.763,0.852,0.426,0.358,0.642,0.853,0.517
adv-clean-fair_adv-group-1,0.816,0.859,0.270,0.229,0.584,0.902,0.483
adv-clean-fair_adv-delta,-0.053,-0.007,0.156,0.129,0.058,-0.050,0.058
adv-clean-fair_resample-all,0.785,0.855,0.351,0.292,0.609,0.880,0.000
adv-clean-fair_resample-group-0,0.758,0.852,0.426,0.326,0.598,0.877,0.517
adv-clean-fair_resample-group-1,0.814,0.859,0.270,0.255,0.627,0.883,0.483
adv-clean-fair_resample-delta,-0.056,-0.008,0.156,0.071,-0.029,-0.006,0.029
adv-all-all,0.792,0.863,0.351,0.310,0.645,0.871,0.000
adv-all-group-0,0.768,0.852,0.426,0.408,0.706,0.813,0.517
adv-all-group-1,0.817,0.860,0.270,0.205,0.540,0.919,0.483
adv-all-delta,-0.049,-0.009,0.156,0.203,0.166,-0.106,0.166
adv-all-fair_reg-all,0.756,0.846,0.351,0.441,0.781,0.743,0.000
adv-all-fair_reg-group-0,0.769,0.852,0.426,0.442,0.747,0.785,0.517
adv-all-fair_reg-group-1,0.743,0.861,0.270,0.441,0.839,0.707,0.483
adv-all-fair_reg-delta,0.026,-0.009,0.156,0.001,-0.092,0.079,0.092
adv-all-fair_pp-all,0.776,0.847,0.351,0.289,0.593,0.875,0.000
adv-all-fair_pp-group-0,0.747,0.852,0.426,0.287,0.539,0.901,0.517
adv-all-fair_pp-group-1,0.807,0.860,0.270,0.292,0.683,0.853,0.483
adv-all-fair_pp-delta,-0.060,-0.009,0.156,-0.005,-0.144,0.048,0.144
adv-all-fair_adv-all,0.790,0.860,0.351,0.307,0.638,0.872,0.000
adv-all-fair_adv-group-0,0.765,0.852,0.426,0.369,0.657,0.845,0.517
adv-all-fair_adv-group-1,0.816,0.860,0.270,0.241,0.606,0.894,0.483
adv-all-fair_adv-delta,-0.051,-0.008,0.156,0.128,0.051,-0.049,0.051
adv-all-fair_resample-all,0.784,0.855,0.351,0.305,0.627,0.870,0.000
adv-all-fair_resample-group-0,0.760,0.852,0.426,0.337,0.614,0.868,0.517
adv-all-fair_resample-group-1,0.811,0.861,0.270,0.269,0.648,0.871,0.483
adv-all-fair_resample-delta,-0.051,-0.009,0.156,0.068,-0.035,-0.003,0.035
adv-konstantinov-all,0.792,0.863,0.351,0.310,0.645,0.871,0.294
adv-konstantinov-group-0,0.768,0.852,0.426,0.408,0.706,0.813,0.517
adv-konstantinov-group-1,0.817,0.860,0.270,0.205,0.540,0.919,0.483
adv-konstantinov-delta,-0.049,-0.009,0.156,0.203,0.166,-0.106,0.166
adv-konstantinov-fair_reg-all,0.756,0.846,0.351,0.441,0.781,0.743,0.000
adv-konstantinov-fair_reg-group-0,0.769,0.852,0.426,0.442,0.747,0.785,0.517
adv-konstantinov-fair_reg-group-1,0.743,0.861,0.270,0.441,0.839,0.707,0.483
adv-konstantinov-fair_reg-delta,0.026,-0.009,0.156,0.001,-0.092,0.079,0.092
adv-konstantinov-fair_pp-all,0.776,0.847,0.351,0.289,0.593,0.875,0.000
adv-konstantinov-fair_pp-group-0,0.747,0.852,0.426,0.287,0.539,0.901,0.517
adv-konstantinov-fair_pp-group-1,0.807,0.860,0.270,0.292,0.683,0.853,0.483
