method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.788,0.860,0.355,0.313,0.642,0.869,0.000
original-group-0,0.765,0.850,0.430,0.415,0.709,0.806,0.523
original-group-1,0.814,0.858,0.272,0.200,0.526,0.922,0.477
original-delta,-0.049,-0.008,0.158,0.215,0.183,-0.115,0.183
original-fair_reg-all,0.753,0.844,0.355,0.445,0.779,0.738,0.000
original-fair_reg-group-0,0.765,0.850,0.430,0.446,0.745,0.780,0.523
original-fair_reg-group-1,0.739,0.858,0.272,0.444,0.837,0.703,0.477
original-fair_reg-delta,0.026,-0.008,0.158,0.001,-0.093,0.077,0.093
original-fair_pp-all,0.773,0.844,0.355,0.302,0.605,0.865,0.000
original-fair_pp-group-0,0.748,0.850,0.430,0.302,0.558,0.891,0.523
original-fair_pp-group-1,0.801,0.858,0.272,0.301,0.687,0.843,0.477
original-fair_pp-delta,-0.053,-0.008,0.158,0.000,-0.130,0.048,0.130
original-fair_adv-all,0.784,0.858,0.355,0.308,0.630,0.869,0.000
original-fair_adv-group-0,0.760,0.850,0.430,0.372,0.654,0.840,0.523
original-fair_adv-group-1,0.810,0.857,0.272,0.238,0.589,0.893,0.477
original-fair_adv-delta,-0.050,-0.007,0.158,0.134,0.065,-0.053,0.065
original-fair_resample-all,0.780,0.853,0.355,0.307,0.623,0.867,0.000
original-fair_resample-group-0,0.756,0.850,0.430,0.343,0.615,0.862,0.523
original-fair_resample-group-1,0.807,0.858,0.272,0.268,0.637,0.871,0.477
original-fair_resample-delta,-0.051,-0.009,0.158,0.076,-0.022,-0.009,0.022
adv-clean-all,0.788,0.860,0.355,0.324,0.658,0.860,0.000
adv-clean-group-0,0.765,0.850,0.430,0.427,0.722,0.797,0.523
adv-clean-group-1,0.814,0.858,0.272,0.212,0.546,0.914,0.477
adv-clean-delta,-0.049,-0.008,0.158,0.215,0.176,-0.117,0.176
adv-clean-fair_reg-all,0.750,0.843,0.355,0.447,0.778,0.735,0.000
adv-clean-fair_reg-group-0,0.764,0.850,0.430,0.443,0.740,0.781,0.523
adv-clean-fair_reg-group-1,0.736,0.858,0.272,0.451,0.843,0.696,0.477
adv-clean-fair_reg-delta,0.028,-0.008,0.158,-0.008,-0.103,0.086,0.103
adv-clean-fair_pp-all,0.772,0.844,0.355,0.328,0.640,0.844,0.000
adv-clean-fair_pp-group-0,0.752,0.850,0.430,0.327,0.591,0.874,0.523
adv-clean-fair_pp-group-1,0.793,0.858,0.272,0.329,0.723,0.819,0.477
adv-clean-fair_pp-delta,-0.041,-0.008,0.158,-0.002,-0.132,0.055,0.132
adv-clean-fair_adv-all,0.784,0.857,0.355,0.323,0.650,0.857,0.000
adv-clean-fair_adv-group-0,0.761,0.850,0.430,0.385,0.670,0.830,0.523
adv-clean-fair_adv-group-1,0.808,0.857,0.272,0.255,0.616,0.880,0.477
adv-clean-fair_adv-delta,-0.047,-0.007,0.158,0.130,0.053,-0.050,0.053
adv-clean-fair_resample-all,0.780,0.853,0.355,0.324,0.646,0.854,0.000
adv-clean-fair_resample-group-0,0.758,0.849,0.430,0.357,0.634,0.852,0.523
adv-clean-fair_resample-group-1,0.804,0.858,0.272,0.287,0.667,0.855,0.477
adv-clean-fair_resample-delta,-0.046,-0.008,0.158,0.070,-0.033,-0.003,0.033
adv-all-all,0.788,0.860,0.355,0.313,0.642,0.869,0.000
adv-all-group-0,0.765,0.850,0.430,0.415,0.709,0.806,0.523
adv-all-group-1,0.814,0.858,0.272,0.200,0.526,0.922,0.477
adv-all-delta,-0.049,-0.008,0.158,0.215,0.183,-0.115,0.183
adv-all-fair_reg-all,0.753,0.844,0.355,0.445,0.779,0.738,0.000
adv-all-fair_reg-group-0,0.765,0.850,0.430,0.446,0.745,0.780,0.523
adv-all-fair_reg-group-1,0.739,0.858,0.272,0.444,0.837,0.703,0.477
adv-all-fair_reg-delta,0.026,-0.008,0.158,0.001,-0.093,0.077,0.093
adv-all-fair_pp-all,0.773,0.844,0.355,0.302,0.605,0.865,0.000
adv-all-fair_pp-group-0,0.748,0.850,0.430,0.302,0.558,0.891,0.523
adv-all-fair_pp-group-1,0.801,0.858,0.272,0.301,0.687,0.843,0.477
adv-all-fair_pp-delta,-0.053,-0.008,0.158,0.000,-0.130,0.048,0.130
adv-all-fair_adv-all,0.784,0.858,0.355,0.308,0.630,0.869,0.000
adv-all-fair_adv-group-0,0.760,0.850,0.430,0.372,0.654,0.840,0.523
adv-all-fair_adv-group-1,0.810,0.857,0.272,0.238,0.589,0.893,0.477
adv-all-fair_adv-delta,-0.050,-0.007,0.158,0.134,0.065,-0.053,0.065
adv-all-fair_resample-all,0.780,0.853,0.355,0.305,0.620,0.868,0.000
adv-all-fair_resample-group-0,0.755,0.849,0.430,0.341,0.612,0.863,0.523
adv-all-fair_resample-group-1,0.807,0.858,0.272,0.266,0.635,0.872,0.477
adv-all-fair_resample-delta,-0.052,-0.009,0.158,0.075,-0.023,-0.008,0.023
adv-konstantinov-all,0.788,0.860,0.355,0.313,0.642,0.869,0.490
adv-konstantinov-group-0,0.765,0.850,0.430,0.415,0.709,0.806,0.523
adv-konstantinov-group-1,0.814,0.858,0.272,0.200,0.526,0.922,0.477
adv-konstantinov-delta,-0.049,-0.008,0.158,0.215,0.183,-0.115,0.183
adv-konstantinov-fair_reg-all,0.753,0.844,0.355,0.445,0.779,0.738,0.000
adv-konstantinov-fair_reg-group-0,0.765,0.850,0.430,0.446,0.745,0.780,0.523
adv-konstantinov-fair_reg-group-1,0.739,0.858,0.272,0.444,0.837,0.703,0.477
adv-konstantinov-fair_reg-delta,0.026,-0.008,0.158,0.001,-0.093,0.077,0.093
adv-konstantinov-fair_pp-all,0.773,0.844,0.355,0.302,0.605,0.865,0.000
adv-konstantinov-fair_pp-group-0,0.748,0.850,0.430,0.302,0.558,0.891,0.523
adv-konstantinov-fair_pp-group-1,0.801,0.858,0.272,0.301,0.687,0.843,0.477
adv-konstantinov-fair_pp-delta,-0.053,-0.008,0.158,0.000,-0.130,0.048,0.130
adv-konstantinov-fair_adv-all,0.784,0.858,0.355,0.308,0.630,0.869,0.000
adv-konstantinov-fair_adv-group-0,0.760,0.850,0.430,0.372,0.654,0.840,0.523
adv-konstantinov-fair_adv-group-1,0.810,0.857,0.272,0.238,0.589,0.893,0.477
adv-konstantinov-fair_adv-delta,-0.050,-0.007,0.158,0.134,0.065,-0.053,0.065
adv-konstantinov-fair_resample-all,0.781,0.853,0.355,0.308,0.624,0.867,0.000
adv-konstantinov-fair_resample-group-0,0.756,0.850,0.430,0.344,0.616,0.862,0.523
adv-konstantinov-fair_resample-group-1,0.807,0.858,0.272,0.268,0.638,0.871,0.477
adv-konstantinov-fair_resample-delta,-0.051,-0.008,0.158,0.076,-0.022,-0.009,0.022
adv-selected-all,0.787,0.860,0.355,0.310,0.637,0.870,0.500
adv-selected-group-0,0.765,0.850,0.430,0.414,0.708,0.808,0.523
adv-selected-group-1,0.812,0.857,0.272,0.195,0.514,0.924,0.477
adv-selected-delta,-0.047,-0.007,0.158,0.219,0.194,-0.116,0.194
adv-selected-fair_reg-all,0.754,0.844,0.355,0.439,0.772,0.745,0.500
adv-selected-fair_reg-group-0,0.764,0.850,0.430,0.440,0.738,0.784,0.523
adv-selected-fair_reg-group-1,0.743,0.857,0.272,0.437,0.831,0.710,0.477
adv-selected-fair_reg-delta,0.021,-0.007,0.158,0.003,-0.093,0.074,0.093
adv-selected-fair_pp-all,0.773,0.844,0.355,0.301,0.604,0.866,0.462
adv-selected-fair_pp-group-0,0.748,0.850,0.430,0.301,0.557,0.892,0.523
adv-selected-fair_pp-group-1,0.801,0.857,0.272,0.300,0.685,0.844,0.477
adv-selected-fair_pp-delta,-0.053,-0.007,0.158,0.001,-0.128,0.048,0.128
adv-selected-fair_adv-all,0.785,0.858,0.355,0.305,0.626,0.872,0.577
adv-selected-fair_adv-group-0,0.761,0.850,0.430,0.372,0.655,0.841,0.523
adv-selected-fair_adv-group-1,0.811,0.857,0.272,0.231,0.577,0.898,0.477
adv-selected-fair_adv-delta,-0.050,-0.006,0.158,0.141,0.078,-0.057,0.078
adv-selected-fair_resample-all,0.780,0.853,0.355,0.304,0.618,0.869,0.000
adv-selected-fair_resample-group-0,0.755,0.849,0.430,0.341,0.612,0.863,0.523
adv-selected-fair_resample-group-1,0.806,0.858,0.272,0.263,0.628,0.873,0.477
adv-selected-fair_resample-delta,-0.051,-0.008,0.158,0.078,-0.016,-0.010,0.016
adv-voting-all,0.788,0.859,0.355,0.311,0.639,0.870,0.486
adv-voting-group-0,0.766,0.850,0.430,0.420,0.716,0.803,0.523
adv-voting-group-1,0.812,0.855,0.272,0.190,0.504,0.927,0.477
adv-voting-delta,-0.046,-0.005,0.158,0.230,0.212,-0.124,0.212
adv-voting-fair_reg-all,0.754,0.843,0.355,0.442,0.776,0.742,0.471
adv-voting-fair_reg-group-0,0.766,0.851,0.430,0.442,0.742,0.785,0.523
adv-voting-fair_reg-group-1,0.740,0.856,0.272,0.442,0.834,0.705,0.477
adv-voting-fair_reg-delta,0.026,-0.006,0.158,0.000,-0.092,0.080,0.092
adv-voting-fair_pp-all,0.772,0.842,0.355,0.303,0.605,0.863,0.504
adv-voting-fair_pp-group-0,0.747,0.850,0.430,0.300,0.556,0.892,0.523
adv-voting-fair_pp-group-1,0.798,0.855,0.272,0.306,0.691,0.838,0.477
adv-voting-fair_pp-delta,-0.051,-0.005,0.158,-0.005,-0.136,0.054,0.136
adv-voting-fair_adv-all,0.785,0.858,0.355,0.306,0.629,0.872,0.485
adv-voting-fair_adv-group-0,0.763,0.851,0.430,0.378,0.664,0.838,0.523
adv-voting-fair_adv-group-1,0.810,0.855,0.272,0.228,0.569,0.900,0.477
adv-voting-fair_adv-delta,-0.047,-0.004,0.158,0.150,0.095,-0.062,0.095
adv-voting-fair_resample-all,0.780,0.853,0.355,0.304,0.619,0.869,0.496
adv-voting-fair_resample-group-0,0.757,0.850,0.430,0.343,0.616,0.863,0.523
adv-voting-fair_resample-group-1,0.806,0.855,0.272,0.262,0.625,0.874,0.477
adv-voting-fair_resample-delta,-0.049,-0.005,0.158,0.081,-0.009,-0.011,0.011
adv-TERM-all,0.772,0.849,0.355,0.217,0.485,0.931,0.000
adv-TERM-group-0,0.747,0.840,0.430,0.293,0.547,0.898,0.523
adv-TERM-group-1,0.800,0.845,0.272,0.133,0.377,0.958,0.477
adv-TERM-delta,-0.053,-0.005,0.158,0.160,0.169,-0.060,0.169
adv-TERM-fair_pp-all,0.770,0.834,0.355,0.282,0.574,0.878,0.000
adv-TERM-fair_pp-group-0,0.744,0.840,0.430,0.283,0.531,0.905,0.523
adv-TERM-fair_pp-group-1,0.799,0.846,0.272,0.282,0.649,0.856,0.477
adv-TERM-fair_pp-delta,-0.056,-0.006,0.158,0.001,-0.118,0.049,0.118
adv-TERM-fair_resample-all,0.764,0.824,0.355,0.206,0.458,0.932,0.000
adv-TERM-fair_resample-group-0,0.723,0.822,0.430,0.225,0.439,0.937,0.523
adv-TERM-fair_resample-group-1,0.808,0.837,0.272,0.186,0.490,0.927,0.477
adv-TERM-fair_resample-delta,-0.085,-0.015,0.158,0.039,-0.050,0.010,0.050
adv-DRO-fair_reg-all,0.656,0.795,0.355,0.013,0.034,0.999,0.000
adv-DRO-fair_reg-group-0,0.589,0.803,0.430,0.023,0.049,0.997,0.523
adv-DRO-fair_reg-group-1,0.730,0.783,0.272,0.002,0.008,1.000,0.477
adv-DRO-fair_reg-delta,-0.140,0.020,0.158,0.021,0.041,-0.003,0.041
