method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.792,0.863,0.351,0.310,0.645,0.871,0.000
original-group-0,0.768,0.852,0.426,0.408,0.706,0.813,0.517
original-group-1,0.817,0.860,0.270,0.205,0.540,0.920,0.483
original-delta,-0.049,-0.009,0.156,0.203,0.166,-0.106,0.166
original-fair_reg-all,0.757,0.846,0.351,0.441,0.782,0.743,0.000
original-fair_reg-group-0,0.770,0.852,0.426,0.442,0.748,0.786,0.517
original-fair_reg-group-1,0.743,0.861,0.270,0.441,0.839,0.707,0.483
original-fair_reg-delta,0.027,-0.009,0.156,0.001,-0.091,0.079,0.091
original-fair_pp-all,0.776,0.847,0.351,0.289,0.593,0.875,0.000
original-fair_pp-group-0,0.747,0.852,0.426,0.287,0.539,0.901,0.517
original-fair_pp-group-1,0.807,0.860,0.270,0.292,0.683,0.853,0.483
original-fair_pp-delta,-0.060,-0.009,0.156,-0.005,-0.144,0.048,0.144
original-fair_adv-all,0.790,0.860,0.351,0.307,0.638,0.872,0.000
original-fair_adv-group-0,0.765,0.852,0.426,0.369,0.657,0.845,0.517
original-fair_adv-group-1,0.816,0.860,0.270,0.241,0.606,0.894,0.483
original-fair_adv-delta,-0.051,-0.008,0.156,0.128,0.051,-0.049,0.051
original-fair_resample-all,0.784,0.855,0.351,0.302,0.623,0.871,0.000
original-fair_resample-group-0,0.758,0.851,0.426,0.336,0.610,0.868,0.517
original-fair_resample-group-1,0.813,0.861,0.270,0.266,0.646,0.875,0.483
original-fair_resample-delta,-0.055,-0.010,0.156,0.070,-0.036,-0.007,0.036
adv-clean-all,0.791,0.863,0.351,0.316,0.653,0.866,0.000
adv-clean-group-0,0.767,0.852,0.426,0.415,0.714,0.807,0.517
adv-clean-group-1,0.817,0.861,0.270,0.210,0.550,0.916,0.483
adv-clean-delta,-0.049,-0.009,0.156,0.205,0.164,-0.108,0.164
adv-clean-fair_reg-all,0.756,0.846,0.351,0.441,0.781,0.743,0.000
adv-clean-fair_reg-group-0,0.769,0.852,0.426,0.440,0.745,0.787,0.517
adv-clean-fair_reg-group-1,0.743,0.861,0.270,0.441,0.841,0.707,0.483
adv-clean-fair_reg-delta,0.026,-0.009,0.156,-0.001,-0.096,0.080,0.096
adv-clean-fair_pp-all,0.776,0.847,0.351,0.316,0.632,0.855,0.000
adv-clean-fair_pp-group-0,0.755,0.852,0.426,0.314,0.581,0.885,0.517
adv-clean-fair_pp-group-1,0.799,0.861,0.270,0.319,0.717,0.829,0.483
adv-clean-fair_pp-delta,-0.044,-0.009,0.156,-0.005,-0.136,0.056,0.136
adv-clean-fair_adv-all,0.789,0.860,0.351,0.313,0.646,0.867,0.000
adv-clean-fair_adv-group-0,0.765,0.852,0.426,0.376,0.665,0.839,0.517
adv-clean-fair_adv-group-1,0.816,0.860,0.270,0.246,0.615,0.890,0.483
adv-clean-fair_adv-delta,-0.051,-0.008,0.156,0.129,0.049,-0.051,0.051
adv-clean-fair_resample-all,0.784,0.855,0.351,0.315,0.640,0.862,0.000
adv-clean-fair_resample-group-0,0.761,0.851,0.426,0.346,0.626,0.861,0.517
adv-clean-fair_resample-group-1,0.809,0.861,0.270,0.280,0.665,0.862,0.483
adv-clean-fair_resample-delta,-0.048,-0.009,0.156,0.066,-0.039,-0.001,0.039
adv-all-all,0.788,0.860,0.351,0.323,0.658,0.859,0.000
adv-all-group-0,0.764,0.851,0.426,0.382,0.671,0.833,0.517
adv-all-group-1,0.814,0.861,0.270,0.259,0.635,0.881,0.483
adv-all-delta,-0.051,-0.009,0.156,0.124,0.036,-0.048,0.048
adv-all-fair_reg-all,0.765,0.853,0.351,0.435,0.784,0.754,0.000
adv-all-fair_reg-group-0,0.766,0.851,0.426,0.461,0.767,0.766,0.517
adv-all-fair_reg-group-1,0.763,0.861,0.270,0.407,0.813,0.744,0.483
adv-all-fair_reg-delta,0.003,-0.010,0.156,0.055,-0.046,0.022,0.046
adv-all-fair_pp-all,0.781,0.853,0.351,0.329,0.657,0.848,0.000
adv-all-fair_pp-group-0,0.761,0.851,0.426,0.352,0.633,0.857,0.517
adv-all-fair_pp-group-1,0.802,0.861,0.270,0.305,0.698,0.841,0.483
adv-all-fair_pp-delta,-0.041,-0.009,0.156,0.048,-0.065,0.015,0.065
adv-all-fair_adv-all,0.786,0.857,0.351,0.322,0.654,0.857,0.000
adv-all-fair_adv-group-0,0.763,0.852,0.426,0.365,0.651,0.847,0.517
adv-all-fair_adv-group-1,0.809,0.861,0.270,0.277,0.659,0.865,0.483
adv-all-fair_adv-delta,-0.046,-0.009,0.156,0.089,-0.008,-0.018,0.018
adv-all-fair_resample-all,0.784,0.855,0.351,0.324,0.653,0.854,0.000
adv-all-fair_resample-group-0,0.762,0.851,0.426,0.356,0.639,0.854,0.517
adv-all-fair_resample-group-1,0.807,0.861,0.270,0.290,0.678,0.854,0.483
adv-all-fair_resample-delta,-0.045,-0.010,0.156,0.066,-0.040,-0.001,0.040
adv-konstantinov-all,0.788,0.860,0.351,0.323,0.658,0.859,0.098
adv-konstantinov-group-0,0.764,0.851,0.426,0.382,0.671,0.833,0.517
adv-konstantinov-group-1,0.814,0.861,0.270,0.259,0.635,0.881,0.483
adv-konstantinov-delta,-0.051,-0.009,0.156,0.124,0.036,-0.048,0.048
adv-konstantinov-fair_reg-all,0.765,0.853,0.351,0.435,0.784,0.754,0.000
adv-konstantinov-fair_reg-group-0,0.766,0.851,0.426,0.461,0.767,0.766,0.517
adv-konstantinov-fair_reg-group-1,0.763,0.861,0.270,0.407,0.813,0.744,0.483
adv-konstantinov-fair_reg-delta,0.003,-0.010,0.156,0.055,-0.046,0.022,0.046
adv-konstantinov-fair_pp-all,0.781,0.853,0.351,0.329,0.657,0.848,0.000
adv-konstantinov-fair_pp-group-0,0.761,0.851,0.426,0.352,0.633,0.857,0.517
adv-konstantinov-fair_pp-group-1,0.802,0.861,0.270,0.305,0.698,0.841,0.483
