method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.816,0.840,0.236,0.150,0.428,0.936,0.000
original-group-0,0.778,0.823,0.299,0.217,0.493,0.901,0.664
original-group-1,0.890,0.808,0.111,0.018,0.085,0.990,0.336
original-delta,-0.111,0.015,0.189,0.199,0.407,-0.089,0.407
original-fair_reg-all,0.704,0.804,0.236,0.420,0.763,0.686,0.000
original-fair_reg-group-0,0.735,0.823,0.299,0.415,0.750,0.728,0.664
original-fair_reg-group-1,0.643,0.808,0.111,0.430,0.832,0.620,0.336
original-fair_reg-delta,0.091,0.015,0.189,-0.015,-0.082,0.108,0.108
original-fair_pp-all,0.793,0.802,0.236,0.137,0.352,0.930,0.000
original-fair_pp-group-0,0.767,0.823,0.299,0.133,0.334,0.952,0.664
original-fair_pp-group-1,0.845,0.808,0.111,0.144,0.449,0.894,0.336
original-fair_pp-delta,-0.078,0.015,0.189,-0.011,-0.115,0.058,0.115
original-fair_adv-all,0.811,0.834,0.236,0.146,0.410,0.935,0.000
original-fair_adv-group-0,0.776,0.823,0.299,0.193,0.447,0.916,0.664
original-fair_adv-group-1,0.881,0.809,0.111,0.055,0.212,0.965,0.336
original-fair_adv-delta,-0.105,0.015,0.189,0.138,0.235,-0.048,0.235
original-fair_resample-all,0.801,0.818,0.236,0.137,0.369,0.934,0.000
original-fair_resample-group-0,0.770,0.822,0.299,0.149,0.364,0.943,0.664
original-fair_resample-group-1,0.862,0.809,0.111,0.114,0.394,0.920,0.336
original-fair_resample-delta,-0.093,0.014,0.189,0.035,-0.030,0.022,0.030
adv-clean-all,0.816,0.839,0.236,0.149,0.425,0.936,0.000
adv-clean-group-0,0.778,0.823,0.299,0.213,0.485,0.903,0.664
adv-clean-group-1,0.891,0.806,0.111,0.021,0.105,0.989,0.336
adv-clean-delta,-0.113,0.017,0.189,0.192,0.381,-0.086,0.381
adv-clean-fair_reg-all,0.700,0.803,0.236,0.425,0.764,0.680,0.000
adv-clean-fair_reg-group-0,0.732,0.823,0.299,0.418,0.750,0.724,0.664
adv-clean-fair_reg-group-1,0.635,0.807,0.111,0.439,0.837,0.610,0.336
adv-clean-fair_reg-delta,0.097,0.016,0.189,-0.021,-0.087,0.114,0.114
adv-clean-fair_pp-all,0.793,0.804,0.236,0.147,0.372,0.923,0.000
adv-clean-fair_pp-group-0,0.768,0.823,0.299,0.144,0.353,0.946,0.664
adv-clean-fair_pp-group-1,0.841,0.806,0.111,0.153,0.474,0.886,0.336
adv-clean-fair_pp-delta,-0.072,0.017,0.189,-0.010,-0.121,0.059,0.121
adv-clean-fair_adv-all,0.812,0.834,0.236,0.143,0.405,0.938,0.000
adv-clean-fair_adv-group-0,0.776,0.823,0.299,0.187,0.439,0.921,0.664
adv-clean-fair_adv-group-1,0.882,0.807,0.111,0.056,0.220,0.964,0.336
adv-clean-fair_adv-delta,-0.105,0.015,0.189,0.131,0.219,-0.044,0.219
adv-clean-fair_resample-all,0.802,0.817,0.236,0.135,0.368,0.937,0.000
adv-clean-fair_resample-group-0,0.770,0.821,0.299,0.149,0.366,0.943,0.664
adv-clean-fair_resample-group-1,0.866,0.811,0.111,0.107,0.377,0.927,0.336
adv-clean-fair_resample-delta,-0.095,0.010,0.189,0.042,-0.011,0.017,0.017
adv-all-all,0.746,0.823,0.236,0.362,0.728,0.752,0.000
adv-all-group-0,0.673,0.822,0.299,0.541,0.857,0.594,0.664
adv-all-group-1,0.891,0.800,0.111,0.006,0.039,0.998,0.336
adv-all-delta,-0.219,0.022,0.189,0.535,0.818,-0.404,0.818
adv-all-fair_reg-all,0.702,0.796,0.236,0.413,0.745,0.689,0.000
adv-all-fair_reg-group-0,0.738,0.821,0.299,0.398,0.727,0.743,0.664
adv-all-fair_reg-group-1,0.631,0.804,0.111,0.444,0.837,0.605,0.336
adv-all-fair_reg-delta,0.108,0.017,0.189,-0.047,-0.110,0.138,0.138
adv-all-fair_pp-all,0.690,0.775,0.236,0.415,0.722,0.680,0.000
adv-all-fair_pp-group-0,0.749,0.822,0.299,0.367,0.694,0.773,0.664
adv-all-fair_pp-group-1,0.572,0.800,0.111,0.510,0.871,0.535,0.336
adv-all-fair_pp-delta,0.177,0.022,0.189,-0.143,-0.177,0.237,0.237
adv-all-fair_adv-all,0.769,0.835,0.236,0.333,0.715,0.785,0.000
adv-all-fair_adv-group-0,0.712,0.821,0.299,0.475,0.811,0.669,0.664
adv-all-fair_adv-group-1,0.882,0.797,0.111,0.052,0.201,0.966,0.336
adv-all-fair_adv-delta,-0.170,0.024,0.189,0.422,0.610,-0.297,0.610
adv-all-fair_resample-all,0.743,0.815,0.236,0.344,0.685,0.761,0.000
adv-all-fair_resample-group-0,0.743,0.820,0.299,0.367,0.684,0.768,0.664
adv-all-fair_resample-group-1,0.743,0.809,0.111,0.299,0.689,0.750,0.336
adv-all-fair_resample-delta,0.000,0.012,0.189,0.068,-0.005,0.018,0.018
adv-konstantinov-all,0.816,0.839,0.236,0.149,0.425,0.936,0.000
adv-konstantinov-group-0,0.778,0.823,0.299,0.213,0.485,0.903,0.664
adv-konstantinov-group-1,0.891,0.806,0.111,0.021,0.105,0.989,0.336
adv-konstantinov-delta,-0.113,0.017,0.189,0.192,0.381,-0.086,0.381
adv-konstantinov-fair_reg-all,0.700,0.803,0.236,0.425,0.764,0.680,0.000
adv-konstantinov-fair_reg-group-0,0.732,0.823,0.299,0.418,0.750,0.724,0.664
adv-konstantinov-fair_reg-group-1,0.635,0.807,0.111,0.439,0.837,0.610,0.336
adv-konstantinov-fair_reg-delta,0.097,0.016,0.189,-0.021,-0.087,0.114,0.114
