method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.812,0.836,0.238,0.137,0.393,0.943,0.000
original-group-0,0.770,0.822,0.304,0.197,0.446,0.912,0.666
original-group-1,0.896,0.784,0.106,0.018,0.092,0.991,0.334
original-delta,-0.126,0.038,0.198,0.179,0.353,-0.079,0.353
original-fair_reg-all,0.702,0.795,0.238,0.414,0.745,0.689,0.000
original-fair_reg-group-0,0.738,0.822,0.304,0.408,0.741,0.737,0.666
original-fair_reg-group-1,0.631,0.785,0.106,0.427,0.772,0.614,0.334
original-fair_reg-delta,0.107,0.037,0.198,-0.019,-0.031,0.123,0.123
original-fair_pp-all,0.790,0.794,0.238,0.127,0.324,0.935,0.000
original-fair_pp-group-0,0.759,0.822,0.304,0.125,0.310,0.956,0.666
original-fair_pp-group-1,0.850,0.784,0.106,0.130,0.405,0.903,0.334
original-fair_pp-delta,-0.091,0.038,0.198,-0.005,-0.095,0.053,0.095
original-fair_adv-all,0.807,0.829,0.238,0.135,0.379,0.941,0.000
original-fair_adv-group-0,0.770,0.821,0.304,0.176,0.411,0.926,0.666
original-fair_adv-group-1,0.883,0.786,0.106,0.052,0.194,0.964,0.334
original-fair_adv-delta,-0.113,0.035,0.198,0.124,0.218,-0.038,0.218
original-fair_resample-all,0.799,0.811,0.238,0.132,0.354,0.937,0.000
original-fair_resample-group-0,0.765,0.821,0.304,0.149,0.357,0.942,0.666
original-fair_resample-group-1,0.867,0.790,0.106,0.099,0.338,0.929,0.334
original-fair_resample-delta,-0.102,0.031,0.198,0.050,0.019,0.013,0.019
adv-clean-all,0.813,0.836,0.238,0.140,0.400,0.941,0.000
adv-clean-group-0,0.771,0.822,0.304,0.200,0.453,0.910,0.666
adv-clean-group-1,0.895,0.784,0.106,0.020,0.098,0.990,0.334
adv-clean-delta,-0.124,0.037,0.198,0.181,0.355,-0.079,0.355
adv-clean-fair_reg-all,0.705,0.796,0.238,0.408,0.739,0.695,0.000
adv-clean-fair_reg-group-0,0.741,0.822,0.304,0.401,0.733,0.744,0.666
adv-clean-fair_reg-group-1,0.634,0.785,0.106,0.423,0.769,0.618,0.334
adv-clean-fair_reg-delta,0.107,0.037,0.198,-0.022,-0.035,0.126,0.126
adv-clean-fair_pp-all,0.789,0.795,0.238,0.135,0.340,0.929,0.000
adv-clean-fair_pp-group-0,0.761,0.822,0.304,0.134,0.327,0.950,0.666
adv-clean-fair_pp-group-1,0.845,0.784,0.106,0.137,0.413,0.896,0.334
adv-clean-fair_pp-delta,-0.084,0.037,0.198,-0.003,-0.086,0.054,0.086
adv-clean-fair_adv-all,0.806,0.829,0.238,0.139,0.383,0.938,0.000
adv-clean-fair_adv-group-0,0.769,0.822,0.304,0.177,0.412,0.925,0.666
adv-clean-fair_adv-group-1,0.878,0.786,0.106,0.062,0.217,0.957,0.334
adv-clean-fair_adv-delta,-0.109,0.036,0.198,0.116,0.195,-0.032,0.195
adv-clean-fair_resample-all,0.797,0.813,0.238,0.135,0.358,0.934,0.000
adv-clean-fair_resample-group-0,0.764,0.820,0.304,0.152,0.361,0.940,0.666
adv-clean-fair_resample-group-1,0.864,0.790,0.106,0.102,0.338,0.926,0.334
adv-clean-fair_resample-delta,-0.100,0.030,0.198,0.050,0.023,0.013,0.023
adv-all-all,0.812,0.836,0.238,0.137,0.393,0.943,0.000
adv-all-group-0,0.770,0.822,0.304,0.197,0.446,0.912,0.666
adv-all-group-1,0.896,0.784,0.106,0.018,0.092,0.991,0.334
adv-all-delta,-0.126,0.038,0.198,0.179,0.353,-0.079,0.353
adv-all-fair_reg-all,0.702,0.795,0.238,0.414,0.745,0.689,0.000
adv-all-fair_reg-group-0,0.738,0.822,0.304,0.408,0.741,0.737,0.666
adv-all-fair_reg-group-1,0.631,0.785,0.106,0.427,0.772,0.614,0.334
adv-all-fair_reg-delta,0.107,0.037,0.198,-0.019,-0.031,0.123,0.123
adv-all-fair_pp-all,0.790,0.794,0.238,0.127,0.324,0.935,0.000
adv-all-fair_pp-group-0,0.759,0.822,0.304,0.125,0.310,0.956,0.666
adv-all-fair_pp-group-1,0.850,0.784,0.106,0.130,0.405,0.903,0.334
adv-all-fair_pp-delta,-0.091,0.038,0.198,-0.005,-0.095,0.053,0.095
adv-all-fair_adv-all,0.807,0.829,0.238,0.135,0.379,0.941,0.000
adv-all-fair_adv-group-0,0.770,0.821,0.304,0.176,0.411,0.926,0.666
adv-all-fair_adv-group-1,0.883,0.786,0.106,0.052,0.194,0.964,0.334
adv-all-fair_adv-delta,-0.113,0.035,0.198,0.124,0.218,-0.038,0.218
adv-all-fair_resample-all,0.796,0.811,0.238,0.134,0.353,0.935,0.000
adv-all-fair_resample-group-0,0.763,0.820,0.304,0.149,0.354,0.941,0.666
adv-all-fair_resample-group-1,0.864,0.790,0.106,0.103,0.347,0.926,0.334
adv-all-fair_resample-delta,-0.102,0.030,0.198,0.046,0.007,0.015,0.015
adv-konstantinov-all,0.812,0.836,0.238,0.137,0.393,0.943,0.400
adv-konstantinov-group-0,0.770,0.822,0.304,0.197,0.446,0.912,0.666
adv-konstantinov-group-1,0.896,0.784,0.106,0.018,0.092,0.991,0.334
adv-konstantinov-delta,-0.126,0.038,0.198,0.179,0.353,-0.079,0.353
