method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.674,0.747,0.454,0.414,0.596,0.738,0.000
original-group-0,0.644,0.744,0.523,0.603,0.736,0.542,0.462
original-group-1,0.700,0.743,0.394,0.251,0.438,0.870,0.538
original-delta,-0.056,0.002,0.129,0.352,0.299,-0.328,0.328
original-fair_resample-all,0.682,0.728,0.454,0.406,0.596,0.752,0.000
original-fair_resample-group-0,0.672,0.725,0.523,0.483,0.648,0.699,0.462
original-fair_resample-group-1,0.690,0.718,0.394,0.340,0.537,0.789,0.538
original-fair_resample-delta,-0.017,0.007,0.129,0.143,0.111,-0.090,0.111
adv-clean-all,0.676,0.735,0.454,0.422,0.608,0.733,0.000
adv-clean-group-0,0.667,0.723,0.523,0.500,0.659,0.675,0.462
adv-clean-group-1,0.685,0.739,0.394,0.355,0.550,0.772,0.538
adv-clean-delta,-0.018,-0.016,0.129,0.145,0.109,-0.098,0.109
adv-clean-fair_resample-all,0.639,0.699,0.454,0.432,0.579,0.689,0.000
adv-clean-fair_resample-group-0,0.644,0.721,0.523,0.489,0.626,0.663,0.462
adv-clean-fair_resample-group-1,0.635,0.672,0.394,0.384,0.525,0.707,0.538
adv-clean-fair_resample-delta,0.008,0.049,0.129,0.104,0.101,-0.045,0.101
adv-all-all,0.663,0.688,0.454,0.408,0.579,0.733,0.000
adv-all-group-0,0.661,0.697,0.523,0.368,0.527,0.807,0.462
adv-all-group-1,0.665,0.703,0.394,0.443,0.637,0.683,0.538
adv-all-delta,-0.004,-0.006,0.129,-0.076,-0.110,0.124,0.124
adv-all-fair_resample-all,0.615,0.665,0.454,0.446,0.567,0.655,0.000
adv-all-fair_resample-group-0,0.598,0.658,0.523,0.443,0.538,0.663,0.462
adv-all-fair_resample-group-1,0.631,0.675,0.394,0.448,0.600,0.650,0.538
adv-all-fair_resample-delta,-0.033,-0.018,0.129,-0.006,-0.062,0.012,0.062
adv-konstantinov-all,0.663,0.688,0.454,0.408,0.579,0.733,0.400
adv-konstantinov-group-0,0.661,0.697,0.523,0.368,0.527,0.807,0.462
adv-konstantinov-group-1,0.665,0.703,0.394,0.443,0.637,0.683,0.538
adv-konstantinov-delta,-0.004,-0.006,0.129,-0.076,-0.110,0.124,0.124
adv-konstantinov-fair_resample-all,0.623,0.662,0.454,0.448,0.579,0.660,0.000
adv-konstantinov-fair_resample-group-0,0.609,0.655,0.523,0.454,0.560,0.663,0.462
adv-konstantinov-fair_resample-group-1,0.635,0.666,0.394,0.443,0.600,0.659,0.538
adv-konstantinov-fair_resample-delta,-0.026,-0.011,0.129,0.011,-0.040,0.004,0.040
adv-selected-all,0.676,0.735,0.454,0.422,0.608,0.733,0.000
adv-selected-group-0,0.667,0.723,0.523,0.500,0.659,0.675,0.462
adv-selected-group-1,0.685,0.739,0.394,0.355,0.550,0.772,0.538
adv-selected-delta,-0.018,-0.016,0.129,0.145,0.109,-0.098,0.109
adv-selected-fair_resample-all,0.660,0.705,0.454,0.432,0.602,0.709,0.000
adv-selected-fair_resample-group-0,0.632,0.692,0.523,0.489,0.615,0.651,0.462
adv-selected-fair_resample-group-1,0.685,0.711,0.394,0.384,0.588,0.748,0.538
adv-selected-fair_resample-delta,-0.053,-0.020,0.129,0.104,0.028,-0.097,0.097
adv-voting-all,0.610,0.647,0.454,0.424,0.538,0.670,0.090
adv-voting-group-0,0.603,0.693,0.523,0.264,0.374,0.855,0.462
adv-voting-group-1,0.616,0.697,0.394,0.562,0.725,0.545,0.538
adv-voting-delta,-0.012,-0.004,0.129,-0.297,-0.351,0.311,0.351
adv-voting-fair_resample-all,0.592,0.626,0.454,0.422,0.515,0.655,0.228
adv-voting-fair_resample-group-0,0.615,0.703,0.523,0.195,0.319,0.940,0.462
adv-voting-fair_resample-group-1,0.571,0.681,0.394,0.616,0.738,0.463,0.538
adv-voting-fair_resample-delta,0.044,0.021,0.129,-0.420,-0.419,0.476,0.476
