method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.679,0.728,0.483,0.475,0.659,0.697,0.000
original-group-0,0.651,0.696,0.538,0.586,0.720,0.570,0.493
original-group-1,0.707,0.739,0.429,0.366,0.585,0.798,0.507
original-delta,-0.056,-0.043,0.108,0.220,0.135,-0.228,0.228
original-fair_resample-all,0.679,0.725,0.483,0.438,0.621,0.733,0.000
original-fair_resample-group-0,0.667,0.683,0.538,0.527,0.680,0.651,0.493
original-fair_resample-group-1,0.691,0.754,0.429,0.351,0.549,0.798,0.507
original-fair_resample-delta,-0.024,-0.072,0.108,0.176,0.131,-0.147,0.147
adv-clean-all,0.668,0.728,0.483,0.459,0.632,0.703,0.000
adv-clean-group-0,0.651,0.713,0.538,0.597,0.730,0.558,0.493
adv-clean-group-1,0.686,0.728,0.429,0.325,0.512,0.817,0.507
adv-clean-delta,-0.035,-0.015,0.108,0.272,0.218,-0.258,0.258
adv-clean-fair_resample-all,0.639,0.697,0.483,0.440,0.582,0.692,0.000
adv-clean-fair_resample-group-0,0.618,0.668,0.538,0.489,0.600,0.640,0.493
adv-clean-fair_resample-group-1,0.660,0.716,0.429,0.393,0.561,0.734,0.507
adv-clean-fair_resample-delta,-0.041,-0.048,0.108,0.097,0.039,-0.094,0.094
adv-all-all,0.650,0.705,0.483,0.477,0.632,0.667,0.000
adv-all-group-0,0.651,0.701,0.538,0.478,0.620,0.686,0.493
adv-all-group-1,0.649,0.716,0.429,0.476,0.646,0.651,0.507
adv-all-delta,0.001,-0.015,0.108,0.002,-0.026,0.035,0.035
adv-all-fair_resample-all,0.642,0.673,0.483,0.496,0.643,0.641,0.000
adv-all-fair_resample-group-0,0.618,0.625,0.538,0.543,0.650,0.581,0.493
adv-all-fair_resample-group-1,0.665,0.702,0.429,0.450,0.634,0.688,0.507
adv-all-fair_resample-delta,-0.047,-0.076,0.108,0.093,0.016,-0.107,0.107
adv-konstantinov-all,0.650,0.705,0.483,0.477,0.632,0.667,0.400
adv-konstantinov-group-0,0.651,0.701,0.538,0.478,0.620,0.686,0.493
adv-konstantinov-group-1,0.649,0.716,0.429,0.476,0.646,0.651,0.507
adv-konstantinov-delta,0.001,-0.015,0.108,0.002,-0.026,0.035,0.035
adv-konstantinov-fair_resample-all,0.668,0.716,0.483,0.501,0.676,0.662,0.000
adv-konstantinov-fair_resample-group-0,0.651,0.691,0.538,0.554,0.690,0.605,0.493
adv-konstantinov-fair_resample-group-1,0.686,0.736,0.429,0.450,0.659,0.706,0.507
adv-konstantinov-fair_resample-delta,-0.035,-0.045,0.108,0.104,0.031,-0.102,0.102
adv-selected-all,0.679,0.726,0.483,0.448,0.632,0.723,0.000
adv-selected-group-0,0.651,0.674,0.538,0.608,0.740,0.547,0.493
adv-selected-group-1,0.707,0.759,0.429,0.293,0.500,0.862,0.507
adv-selected-delta,-0.056,-0.085,0.108,0.314,0.240,-0.316,0.316
adv-selected-fair_resample-all,0.671,0.729,0.483,0.509,0.687,0.656,0.000
adv-selected-fair_resample-group-0,0.651,0.717,0.538,0.575,0.710,0.581,0.493
adv-selected-fair_resample-group-1,0.691,0.720,0.429,0.445,0.659,0.716,0.507
adv-selected-fair_resample-delta,-0.041,-0.003,0.108,0.130,0.051,-0.134,0.134
adv-voting-all,0.618,0.655,0.483,0.414,0.533,0.697,0.072
adv-voting-group-0,0.522,0.635,0.538,0.263,0.300,0.779,0.493
adv-voting-group-1,0.712,0.773,0.429,0.560,0.817,0.633,0.507
adv-voting-delta,-0.191,-0.137,0.108,-0.297,-0.517,0.146,0.517
adv-voting-fair_resample-all,0.578,0.631,0.483,0.438,0.516,0.636,0.252
adv-voting-fair_resample-group-0,0.559,0.655,0.538,0.215,0.290,0.872,0.493
adv-voting-fair_resample-group-1,0.597,0.754,0.429,0.654,0.793,0.450,0.507
adv-voting-fair_resample-delta,-0.038,-0.098,0.108,-0.439,-0.503,0.423,0.503
