method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.720,0.722,0.705,0.785,0.858,0.390,0.000
original-group-0,0.757,0.782,0.713,0.838,0.918,0.359,0.680
original-group-1,0.641,0.616,0.688,0.672,0.727,0.450,0.320
original-delta,0.117,0.166,0.026,0.166,0.190,-0.091,0.190
original-fair_resample-all,0.730,0.742,0.705,0.695,0.801,0.559,0.000
original-fair_resample-group-0,0.743,0.774,0.713,0.721,0.825,0.538,0.680
original-fair_resample-group-1,0.703,0.681,0.688,0.641,0.750,0.600,0.320
original-fair_resample-delta,0.040,0.094,0.026,0.080,0.075,-0.062,0.075
adv-clean-all,0.750,0.749,0.705,0.735,0.844,0.525,0.000
adv-clean-group-0,0.787,0.788,0.713,0.779,0.897,0.513,0.680
adv-clean-group-1,0.672,0.683,0.688,0.641,0.727,0.550,0.320
adv-clean-delta,0.115,0.105,0.026,0.139,0.170,-0.037,0.170
adv-clean-fair_resample-all,0.685,0.686,0.705,0.710,0.780,0.458,0.000
adv-clean-fair_resample-group-0,0.684,0.708,0.713,0.706,0.773,0.462,0.680
adv-clean-fair_resample-group-1,0.688,0.651,0.688,0.719,0.795,0.450,0.320
adv-clean-fair_resample-delta,-0.004,0.056,0.026,-0.013,-0.022,0.012,0.022
adv-all-all,0.710,0.713,0.705,0.705,0.794,0.508,0.000
adv-all-group-0,0.691,0.741,0.713,0.640,0.732,0.590,0.680
adv-all-group-1,0.750,0.703,0.688,0.844,0.932,0.350,0.320
adv-all-delta,-0.059,0.038,0.026,-0.204,-0.200,0.240,0.240
adv-all-fair_resample-all,0.700,0.696,0.705,0.755,0.823,0.407,0.000
adv-all-fair_resample-group-0,0.684,0.700,0.713,0.765,0.814,0.359,0.680
adv-all-fair_resample-group-1,0.734,0.699,0.688,0.734,0.841,0.500,0.320
adv-all-fair_resample-delta,-0.051,0.001,0.026,0.030,-0.026,-0.141,0.141
adv-konstantinov-all,0.710,0.713,0.705,0.705,0.794,0.508,0.400
adv-konstantinov-group-0,0.691,0.741,0.713,0.640,0.732,0.590,0.680
adv-konstantinov-group-1,0.750,0.703,0.688,0.844,0.932,0.350,0.320
adv-konstantinov-delta,-0.059,0.038,0.026,-0.204,-0.200,0.240,0.240
adv-konstantinov-fair_resample-all,0.700,0.674,0.705,0.785,0.844,0.356,0.000
adv-konstantinov-fair_resample-group-0,0.713,0.710,0.713,0.794,0.856,0.359,0.680
adv-konstantinov-fair_resample-group-1,0.672,0.605,0.688,0.766,0.818,0.350,0.320
adv-konstantinov-fair_resample-delta,0.041,0.105,0.026,0.028,0.037,0.009,0.037
adv-selected-all,0.750,0.749,0.705,0.735,0.844,0.525,0.000
adv-selected-group-0,0.787,0.788,0.713,0.779,0.897,0.513,0.680
adv-selected-group-1,0.672,0.683,0.688,0.641,0.727,0.550,0.320
adv-selected-delta,0.115,0.105,0.026,0.139,0.170,-0.037,0.170
adv-selected-fair_resample-all,0.695,0.692,0.705,0.700,0.780,0.492,0.000
adv-selected-fair_resample-group-0,0.721,0.710,0.713,0.699,0.794,0.538,0.680
adv-selected-fair_resample-group-1,0.641,0.657,0.688,0.703,0.750,0.400,0.320
adv-selected-fair_resample-delta,0.080,0.053,0.026,-0.005,0.044,0.138,0.138
adv-voting-all,0.675,0.673,0.705,0.620,0.709,0.593,0.125
adv-voting-group-0,0.647,0.729,0.713,0.507,0.608,0.744,0.680
adv-voting-group-1,0.734,0.663,0.688,0.859,0.932,0.300,0.320
adv-voting-delta,-0.087,0.066,0.026,-0.352,-0.324,0.444,0.444
adv-voting-fair_resample-all,0.695,0.684,0.705,0.680,0.766,0.525,0.245
adv-voting-fair_resample-group-0,0.699,0.782,0.713,0.574,0.691,0.718,0.680
adv-voting-fair_resample-group-1,0.688,0.625,0.688,0.906,0.932,0.150,0.320
adv-voting-fair_resample-delta,0.011,0.157,0.026,-0.333,-0.241,0.568,0.568
