method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.674,0.747,0.454,0.414,0.596,0.738,0.000
original-group-0,0.644,0.744,0.523,0.603,0.736,0.542,0.462
original-group-1,0.700,0.743,0.394,0.251,0.438,0.870,0.538
original-delta,-0.056,0.002,0.129,0.352,0.299,-0.328,0.328
original-fair_resample-all,0.682,0.728,0.454,0.406,0.596,0.752,0.000
original-fair_resample-group-0,0.672,0.725,0.523,0.483,0.648,0.699,0.462
original-fair_resample-group-1,0.690,0.718,0.394,0.340,0.537,0.789,0.538
original-fair_resample-delta,-0.017,0.007,0.129,0.143,0.111,-0.090,0.111
adv-clean-all,0.676,0.735,0.454,0.422,0.608,0.733,0.000
adv-clean-group-0,0.667,0.723,0.523,0.500,0.659,0.675,0.462
adv-clean-group-1,0.685,0.739,0.394,0.355,0.550,0.772,0.538
adv-clean-delta,-0.018,-0.016,0.129,0.145,0.109,-0.098,0.109
adv-clean-fair_resample-all,0.639,0.699,0.454,0.432,0.579,0.689,0.000
adv-clean-fair_resample-group-0,0.644,0.721,0.523,0.489,0.626,0.663,0.462
adv-clean-fair_resample-group-1,0.635,0.672,0.394,0.384,0.525,0.707,0.538
adv-clean-fair_resample-delta,0.008,0.049,0.129,0.104,0.101,-0.045,0.101
adv-all-all,0.679,0.701,0.454,0.435,0.626,0.723,0.000
adv-all-group-0,0.690,0.710,0.523,0.385,0.571,0.819,0.462
adv-all-group-1,0.670,0.716,0.394,0.478,0.688,0.659,0.538
adv-all-delta,0.020,-0.006,0.129,-0.093,-0.116,0.161,0.161
adv-all-fair_resample-all,0.663,0.691,0.454,0.488,0.667,0.660,0.000
adv-all-fair_resample-group-0,0.678,0.705,0.523,0.511,0.681,0.675,0.462
adv-all-fair_resample-group-1,0.650,0.680,0.394,0.468,0.650,0.650,0.538
adv-all-fair_resample-delta,0.028,0.025,0.129,0.044,0.031,0.024,0.031
adv-konstantinov-all,0.679,0.701,0.454,0.435,0.626,0.723,0.400
adv-konstantinov-group-0,0.690,0.710,0.523,0.385,0.571,0.819,0.462
adv-konstantinov-group-1,0.670,0.716,0.394,0.478,0.688,0.659,0.538
adv-konstantinov-delta,0.020,-0.006,0.129,-0.093,-0.116,0.161,0.161
adv-konstantinov-fair_resample-all,0.666,0.714,0.454,0.459,0.637,0.689,0.000
adv-konstantinov-fair_resample-group-0,0.661,0.714,0.523,0.506,0.659,0.663,0.462
adv-konstantinov-fair_resample-group-1,0.670,0.709,0.394,0.419,0.613,0.707,0.538
adv-konstantinov-fair_resample-delta,-0.009,0.005,0.129,0.087,0.047,-0.045,0.047
adv-selected-all,0.676,0.735,0.454,0.422,0.608,0.733,0.000
adv-selected-group-0,0.667,0.723,0.523,0.500,0.659,0.675,0.462
adv-selected-group-1,0.685,0.739,0.394,0.355,0.550,0.772,0.538
adv-selected-delta,-0.018,-0.016,0.129,0.145,0.109,-0.098,0.109
adv-selected-fair_resample-all,0.660,0.705,0.454,0.459,0.632,0.684,0.000
adv-selected-fair_resample-group-0,0.621,0.673,0.523,0.534,0.648,0.590,0.462
adv-selected-fair_resample-group-1,0.695,0.717,0.394,0.394,0.613,0.748,0.538
adv-selected-fair_resample-delta,-0.074,-0.045,0.129,0.140,0.036,-0.158,0.158
adv-voting-all,0.610,0.647,0.454,0.424,0.538,0.670,0.111
adv-voting-group-0,0.603,0.694,0.523,0.264,0.374,0.855,0.462
adv-voting-group-1,0.616,0.697,0.394,0.562,0.725,0.545,0.538
adv-voting-delta,-0.012,-0.003,0.129,-0.297,-0.351,0.311,0.351
adv-voting-fair_resample-all,0.607,0.648,0.454,0.443,0.556,0.650,0.186
adv-voting-fair_resample-group-0,0.603,0.692,0.523,0.253,0.363,0.867,0.462
adv-voting-fair_resample-group-1,0.611,0.730,0.394,0.606,0.775,0.504,0.538
adv-voting-fair_resample-delta,-0.007,-0.039,0.129,-0.353,-0.412,0.363,0.412
