method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.720,0.722,0.705,0.785,0.858,0.390,0.000
original-group-0,0.757,0.782,0.713,0.838,0.918,0.359,0.680
original-group-1,0.641,0.616,0.688,0.672,0.727,0.450,0.320
original-delta,0.117,0.166,0.026,0.166,0.190,-0.091,0.190
original-fair_resample-all,0.730,0.742,0.705,0.695,0.801,0.559,0.000
original-fair_resample-group-0,0.743,0.774,0.713,0.721,0.825,0.538,0.680
original-fair_resample-group-1,0.703,0.681,0.688,0.641,0.750,0.600,0.320
original-fair_resample-delta,0.040,0.094,0.026,0.080,0.075,-0.062,0.075
adv-clean-all,0.750,0.749,0.705,0.735,0.844,0.525,0.000
adv-clean-group-0,0.787,0.788,0.713,0.779,0.897,0.513,0.680
adv-clean-group-1,0.672,0.683,0.688,0.641,0.727,0.550,0.320
adv-clean-delta,0.115,0.105,0.026,0.139,0.170,-0.037,0.170
adv-clean-fair_resample-all,0.685,0.686,0.705,0.710,0.780,0.458,0.000
adv-clean-fair_resample-group-0,0.684,0.708,0.713,0.706,0.773,0.462,0.680
adv-clean-fair_resample-group-1,0.688,0.651,0.688,0.719,0.795,0.450,0.320
adv-clean-fair_resample-delta,-0.004,0.056,0.026,-0.013,-0.022,0.012,0.022
adv-all-all,0.690,0.705,0.705,0.645,0.738,0.576,0.000
adv-all-group-0,0.684,0.744,0.713,0.632,0.722,0.590,0.680
adv-all-group-1,0.703,0.627,0.688,0.672,0.773,0.550,0.320
adv-all-delta,-0.019,0.116,0.026,-0.040,-0.051,0.040,0.051
adv-all-fair_resample-all,0.690,0.756,0.705,0.575,0.688,0.695,0.000
adv-all-fair_resample-group-0,0.699,0.793,0.713,0.574,0.691,0.718,0.680
adv-all-fair_resample-group-1,0.672,0.690,0.688,0.578,0.682,0.650,0.320
adv-all-fair_resample-delta,0.027,0.103,0.026,-0.005,0.009,0.068,0.068
adv-konstantinov-all,0.690,0.705,0.705,0.645,0.738,0.576,0.400
adv-konstantinov-group-0,0.684,0.744,0.713,0.632,0.722,0.590,0.680
adv-konstantinov-group-1,0.703,0.627,0.688,0.672,0.773,0.550,0.320
adv-konstantinov-delta,-0.019,0.116,0.026,-0.040,-0.051,0.040,0.051
adv-konstantinov-fair_resample-all,0.705,0.746,0.705,0.640,0.745,0.610,0.000
adv-konstantinov-fair_resample-group-0,0.706,0.779,0.713,0.654,0.753,0.590,0.680
adv-konstantinov-fair_resample-group-1,0.703,0.684,0.688,0.609,0.727,0.650,0.320
adv-konstantinov-fair_resample-delta,0.003,0.095,0.026,0.045,0.025,-0.060,0.060
adv-selected-all,0.750,0.749,0.705,0.735,0.844,0.525,0.000
adv-selected-group-0,0.787,0.788,0.713,0.779,0.897,0.513,0.680
adv-selected-group-1,0.672,0.683,0.688,0.641,0.727,0.550,0.320
adv-selected-delta,0.115,0.105,0.026,0.139,0.170,-0.037,0.170
adv-selected-fair_resample-all,0.655,0.657,0.705,0.700,0.752,0.424,0.000
adv-selected-fair_resample-group-0,0.676,0.685,0.713,0.743,0.794,0.385,0.680
adv-selected-fair_resample-group-1,0.609,0.631,0.688,0.609,0.659,0.500,0.320
adv-selected-fair_resample-delta,0.067,0.055,0.026,0.133,0.135,-0.115,0.135
adv-voting-all,0.675,0.679,0.705,0.620,0.709,0.593,0.180
adv-voting-group-0,0.647,0.729,0.713,0.507,0.608,0.744,0.680
adv-voting-group-1,0.734,0.659,0.688,0.859,0.932,0.300,0.320
adv-voting-delta,-0.087,0.071,0.026,-0.352,-0.324,0.444,0.444
adv-voting-fair_resample-all,0.590,0.624,0.705,0.555,0.603,0.559,0.185
adv-voting-fair_resample-group-0,0.544,0.648,0.713,0.390,0.454,0.769,0.680
adv-voting-fair_resample-group-1,0.688,0.648,0.688,0.906,0.932,0.150,0.320
adv-voting-fair_resample-delta,-0.143,-0.000,0.026,-0.517,-0.478,0.619,0.619
