method,acc,auc,data_pr,cls_pr,tpr,tnr,extra
original-all,0.765,0.745,0.755,0.760,0.848,0.510,0.000
original-group-0,0.785,0.727,0.808,0.808,0.867,0.440,0.650
original-group-1,0.729,0.749,0.657,0.671,0.804,0.583,0.350
original-delta,0.056,-0.022,0.151,0.136,0.062,-0.143,0.143
original-fair_resample-all,0.765,0.733,0.755,0.710,0.815,0.612,0.000
original-fair_resample-group-0,0.777,0.695,0.808,0.785,0.848,0.480,0.650
original-fair_resample-group-1,0.743,0.765,0.657,0.571,0.739,0.750,0.350
original-fair_resample-delta,0.034,-0.071,0.151,0.213,0.108,-0.270,0.270
adv-clean-all,0.730,0.728,0.755,0.795,0.848,0.367,0.000
adv-clean-group-0,0.762,0.721,0.808,0.862,0.886,0.240,0.650
adv-clean-group-1,0.671,0.701,0.657,0.671,0.761,0.500,0.350
adv-clean-delta,0.090,0.020,0.151,0.190,0.125,-0.260,0.260
adv-clean-fair_resample-all,0.690,0.705,0.755,0.705,0.762,0.469,0.000
adv-clean-fair_resample-group-0,0.738,0.713,0.808,0.762,0.810,0.440,0.650
adv-clean-fair_resample-group-1,0.600,0.647,0.657,0.600,0.652,0.500,0.350
adv-clean-fair_resample-delta,0.138,0.066,0.151,0.162,0.157,-0.060,0.157
adv-all-all,0.715,0.678,0.755,0.780,0.828,0.367,0.000
adv-all-group-0,0.738,0.744,0.808,0.700,0.771,0.600,0.650
adv-all-group-1,0.671,0.718,0.657,0.929,0.957,0.125,0.350
adv-all-delta,0.067,0.025,0.151,-0.229,-0.185,0.475,0.475
adv-all-fair_resample-all,0.750,0.694,0.755,0.785,0.854,0.429,0.000
adv-all-fair_resample-group-0,0.777,0.703,0.808,0.800,0.857,0.440,0.650
adv-all-fair_resample-group-1,0.700,0.707,0.657,0.757,0.848,0.417,0.350
adv-all-fair_resample-delta,0.077,-0.004,0.151,0.043,0.009,0.023,0.023
adv-konstantinov-all,0.715,0.678,0.755,0.780,0.828,0.367,0.400
adv-konstantinov-group-0,0.738,0.744,0.808,0.700,0.771,0.600,0.650
adv-konstantinov-group-1,0.671,0.718,0.657,0.929,0.957,0.125,0.350
adv-konstantinov-delta,0.067,0.025,0.151,-0.229,-0.185,0.475,0.475
adv-konstantinov-fair_resample-all,0.690,0.674,0.755,0.745,0.788,0.388,0.000
adv-konstantinov-fair_resample-group-0,0.715,0.703,0.808,0.723,0.771,0.480,0.650
adv-konstantinov-fair_resample-group-1,0.643,0.660,0.657,0.786,0.826,0.292,0.350
adv-konstantinov-fair_resample-delta,0.073,0.043,0.151,-0.063,-0.055,0.188,0.188
adv-selected-all,0.710,0.688,0.755,0.775,0.821,0.367,0.000
adv-selected-group-0,0.754,0.709,0.808,0.823,0.857,0.320,0.650
adv-selected-group-1,0.629,0.633,0.657,0.686,0.739,0.417,0.350
adv-selected-delta,0.125,0.076,0.151,0.137,0.118,-0.097,0.118
adv-selected-fair_resample-all,0.760,0.662,0.755,0.815,0.881,0.388,0.000
adv-selected-fair_resample-group-0,0.808,0.705,0.808,0.846,0.905,0.400,0.650
adv-selected-fair_resample-group-1,0.671,0.588,0.657,0.757,0.826,0.375,0.350
adv-selected-fair_resample-delta,0.136,0.117,0.151,0.089,0.079,0.025,0.079
adv-voting-all,0.645,0.598,0.755,0.690,0.722,0.408,0.195
adv-voting-group-0,0.638,0.745,0.808,0.523,0.600,0.800,0.650
adv-voting-group-1,0.657,0.740,0.657,1.000,1.000,0.000,0.350
adv-voting-delta,-0.019,0.005,0.151,-0.477,-0.400,0.800,0.800
adv-voting-fair_resample-all,0.605,0.537,0.755,0.640,0.662,0.429,0.285
adv-voting-fair_resample-group-0,0.554,0.654,0.808,0.469,0.514,0.720,0.650
adv-voting-fair_resample-group-1,0.700,0.644,0.657,0.957,1.000,0.125,0.350
adv-voting-fair_resample-delta,-0.146,0.010,0.151,-0.488,-0.486,0.595,0.595
